,home_team,away_team,home_score,away_score,round,year,date,replay,qualifier,match_id,stage,winner,left,right
54331,MORECAMBE,EMLEY,1.0,1.0,FIRST ROUND PROPER,1998,15.11.97,False,False,70390,8.0,,MORECAMBE,EMLEY
54343,WYCOMBE WANDERERS,BASINGSTOKE TOWN,2.0,2.0,FIRST ROUND PROPER,1998,15.11.97,False,False,70404,8.0,,WYCOMBE WANDERERS,BASINGSTOKE TOWN
54680,KIDDERMINSTER HARRIERS,PLYMOUTH ARGYLE,0.0,0.0,FIRST ROUND PROPER,1999,01.12.98,True,False,71104,8.0,,PLYMOUTH ARGYLE,KIDDERMINSTER HARRIERS
54686,SLOUGH TOWN,MACCLESFIELD TOWN,1.0,1.0,FIRST ROUND PROPER,1999,24.11.98,True,False,71109,8.0,,SLOUGH TOWN,MACCLESFIELD TOWN
54687,WEST AUCKLAND TOWN,YEOVIL TOWN,1.0,1.0,FIRST ROUND PROPER,1999,24.11.98,True,False,71111,8.0,,YEOVIL TOWN,WEST AUCKLAND TOWN
54707,MACCLESFIELD TOWN,SLOUGH TOWN,2.0,2.0,FIRST ROUND PROPER,1999,14.11.98,False,False,71080,8.0,,SLOUGH TOWN,MACCLESFIELD TOWN
54711,PLYMOUTH ARGYLE,KIDDERMINSTER HARRIERS,0.0,0.0,FIRST ROUND PROPER,1999,14.11.98,False,False,71085,8.0,,PLYMOUTH ARGYLE,KIDDERMINSTER HARRIERS
54727,YEOVIL TOWN,WEST AUCKLAND TOWN,2.0,2.0,FIRST ROUND PROPER,1999,14.11.98,False,False,71102,8.0,,YEOVIL TOWN,WEST AUCKLAND TOWN
54749,BRENTFORD,OLDHAM ATHLETIC,2.0,2.0,SECOND ROUND PROPER,1999,15.12.98,True,False,71133,7.0,,OLDHAM ATHLETIC,BRENTFORD
54756,WIGAN ATHLETIC,NOTTS COUNTY,0.0,0.0,SECOND ROUND PROPER,1999,15.12.98,True,False,71140,7.0,,WIGAN ATHLETIC,NOTTS COUNTY
54766,NOTTS COUNTY,WIGAN ATHLETIC,1.0,1.0,SECOND ROUND PROPER,1999,05.12.98,False,False,71123,7.0,,WIGAN ATHLETIC,NOTTS COUNTY
54767,OLDHAM ATHLETIC,BRENTFORD,1.0,1.0,SECOND ROUND PROPER,1999,05.12.98,False,False,71124,7.0,,OLDHAM ATHLETIC,BRENTFORD
55047,LEICESTER CITY,ARSENAL,0.0,0.0,FOURTH ROUND PROPER,2000,19.01.00,True,False,71913,5.0,,LEICESTER CITY,ARSENAL
55048,WOLVERHAMPTON WANDERERS,SHEFFIELD WEDNESDAY,0.0,0.0,FOURTH ROUND PROPER,2000,18.01.00,True,False,71914,5.0,,WOLVERHAMPTON WANDERERS,SHEFFIELD WEDNESDAY
55051,ARSENAL,LEICESTER CITY,0.0,0.0,FOURTH ROUND PROPER,2000,09.01.00,False,False,71897,5.0,,LEICESTER CITY,ARSENAL
55061,SHEFFIELD WEDNESDAY,WOLVERHAMPTON WANDERERS,1.0,1.0,FOURTH ROUND PROPER,2000,08.01.00,False,False,71910,5.0,,WOLVERHAMPTON WANDERERS,SHEFFIELD WEDNESDAY
55347,RUSHDEN & DIAMONDS,SHEFFIELD UNITED,1.0,1.0,THIRD ROUND PROPER,2000,21.12.99,True,False,71895,6.0,,SHEFFIELD UNITED,RUSHDEN & DIAMONDS
55354,SHEFFIELD UNITED,RUSHDEN & DIAMONDS,1.0,1.0,THIRD ROUND PROPER,2000,12.12.99,False,False,71876,6.0,,SHEFFIELD UNITED,RUSHDEN & DIAMONDS
55430,ASTON VILLA,BOLTON WANDERERS,0.0,0.0,SEMI-FINAL,2000,02.04.00,False,False,71927,2.0,,BOLTON WANDERERS,ASTON VILLA
55746,WIMBLEDON,WYCOMBE WANDERERS,2.0,2.0,FIFTH ROUND PROPER,2001,20.02.01,True,False,72653,4.0,,WYCOMBE WANDERERS,WIMBLEDON
55754,WYCOMBE WANDERERS,WIMBLEDON,2.0,2.0,FIFTH ROUND PROPER,2001,17.02.01,False,False,72650,4.0,,WYCOMBE WANDERERS,WIMBLEDON
56436,SCUNTHORPE UNITED,BURNLEY,1.0,1.0,THIRD ROUND PROPER,2001,23.01.01,True,False,72623,6.0,,SCUNTHORPE UNITED,BURNLEY
56449,BURNLEY,SCUNTHORPE UNITED,2.0,2.0,THIRD ROUND PROPER,2001,06.01.01,False,False,72588,6.0,,SCUNTHORPE UNITED,BURNLEY
56474,FOREST GREEN ROVERS,MACCLESFIELD TOWN,1.0,1.0,FIRST ROUND PROPER,2002,28.11.01,True,False,73270,8.0,,MACCLESFIELD TOWN,FOREST GREEN ROVERS
56478,BURY,LINCOLN CITY,1.0,1.0,FIRST ROUND PROPER,2002,27.11.01,True,False,73268,8.0,,LINCOLN CITY,BURY
56485,YORK CITY,COLCHESTER UNITED,2.0,2.0,FIRST ROUND PROPER,2002,27.11.01,True,False,73277,8.0,,YORK CITY,COLCHESTER UNITED
56500,COLCHESTER UNITED,YORK CITY,0.0,0.0,FIRST ROUND PROPER,2002,17.11.01,False,False,73237,8.0,,YORK CITY,COLCHESTER UNITED
56509,LINCOLN CITY,BURY,1.0,1.0,FIRST ROUND PROPER,2002,17.11.01,False,False,73248,8.0,,LINCOLN CITY,BURY
56510,MACCLESFIELD TOWN,FOREST GREEN ROVERS,2.0,2.0,FIRST ROUND PROPER,2002,17.11.01,False,False,73249,8.0,,MACCLESFIELD TOWN,FOREST GREEN ROVERS
57226,BURTON ALBION,OLDHAM ATHLETIC,2.0,2.0,FIRST ROUND PROPER,2003,27.11.02,True,False,74001,8.0,,OLDHAM ATHLETIC,BURTON ALBION
57233,QUEENS PARK RANGERS,VAUXHALL MOTORS(W CHESH),1.0,1.0,FIRST ROUND PROPER,2003,26.11.02,True,False,74008,8.0,,VAUXHALL MOTORS(W CHESH),QUEENS PARK RANGERS
57257,OLDHAM ATHLETIC,BURTON ALBION,2.0,2.0,FIRST ROUND PROPER,2003,16.11.02,False,False,73981,8.0,,OLDHAM ATHLETIC,BURTON ALBION
57272,VAUXHALL MOTORS(W CHESH),QUEENS PARK RANGERS,0.0,0.0,FIRST ROUND PROPER,2003,16.11.02,False,False,73996,8.0,,VAUXHALL MOTORS(W CHESH),QUEENS PARK RANGERS
57670,SUNDERLAND,BLACKBURN ROVERS,2.0,2.0,FOURTH ROUND PROPER,2003,05.02.03,True,False,74093,5.0,,SUNDERLAND,BLACKBURN ROVERS
57678,BLACKBURN ROVERS,SUNDERLAND,3.0,3.0,FOURTH ROUND PROPER,2003,25.01.03,False,False,74075,5.0,,SUNDERLAND,BLACKBURN ROVERS
57883,CREWE ALEXANDRA,AFC BOURNEMOUTH,2.0,2.0,THIRD ROUND PROPER,2003,14.01.03,True,False,74069,6.0,,CREWE ALEXANDRA,AFC BOURNEMOUTH
57887,READING,WALSALL,1.0,1.0,THIRD ROUND PROPER,2003,14.01.03,True,False,74072,6.0,,WALSALL,READING
57893,AFC BOURNEMOUTH,CREWE ALEXANDRA,0.0,0.0,THIRD ROUND PROPER,2003,04.01.03,False,False,74039,6.0,,CREWE ALEXANDRA,AFC BOURNEMOUTH
57917,WALSALL,READING,0.0,0.0,THIRD ROUND PROPER,2003,04.01.03,False,False,74063,6.0,,WALSALL,READING
58513,SHEFFIELD WEDNESDAY,SCUNTHORPE UNITED,0.0,0.0,SECOND ROUND PROPER,2004,17.12.03,True,False,74796,7.0,,SHEFFIELD WEDNESDAY,SCUNTHORPE UNITED
58515,CAMBRIDGE UNITED,MACCLESFIELD TOWN,2.0,2.0,SECOND ROUND PROPER,2004,16.12.03,True,False,74794,7.0,,MACCLESFIELD TOWN,CAMBRIDGE UNITED
58517,ACCRINGTON STANLEY,AFC BOURNEMOUTH,0.0,0.0,SECOND ROUND PROPER,2004,15.12.03,True,False,74792,7.0,,AFC BOURNEMOUTH,ACCRINGTON STANLEY
58520,AFC BOURNEMOUTH,ACCRINGTON STANLEY,1.0,1.0,SECOND ROUND PROPER,2004,06.12.03,False,False,74772,7.0,,AFC BOURNEMOUTH,ACCRINGTON STANLEY
58526,MACCLESFIELD TOWN,CAMBRIDGE UNITED,1.0,1.0,SECOND ROUND PROPER,2004,06.12.03,False,False,74779,7.0,,MACCLESFIELD TOWN,CAMBRIDGE UNITED
58531,SCUNTHORPE UNITED,SHEFFIELD WEDNESDAY,2.0,2.0,SECOND ROUND PROPER,2004,06.12.03,False,False,74785,7.0,,SHEFFIELD WEDNESDAY,SCUNTHORPE UNITED
58813,SHEFFIELD UNITED,WEST HAM UNITED,1.0,1.0,FOURTH ROUND PROPER,2005,13.02.05,True,False,75646,5.0,,WEST HAM UNITED,SHEFFIELD UNITED
58832,WEST HAM UNITED,SHEFFIELD UNITED,1.0,1.0,FOURTH ROUND PROPER,2005,29.01.05,False,False,75643,5.0,,WEST HAM UNITED,SHEFFIELD UNITED
58874,SHEFFIELD UNITED,ARSENAL,0.0,0.0,FIFTH ROUND PROPER,2005,01.03.05,True,False,75659,4.0,,SHEFFIELD UNITED,ARSENAL
58878,ARSENAL,SHEFFIELD UNITED,1.0,1.0,FIFTH ROUND PROPER,2005,19.02.05,False,False,75648,4.0,,SHEFFIELD UNITED,ARSENAL
59248,BRENTFORD,BRISTOL CITY,1.0,1.0,FIRST ROUND PROPER,2005,25.11.04,True,False,75554,8.0,,BRISTOL CITY,BRENTFORD
59291,BRISTOL CITY,BRENTFORD,1.0,1.0,FIRST ROUND PROPER,2005,12.11.04,False,False,75520,8.0,,BRISTOL CITY,BRENTFORD
59510,LEEDS UNITED,WIGAN ATHLETIC,3.0,3.0,THIRD ROUND PROPER,2006,17.01.06,True,False,11316,6.0,,WIGAN ATHLETIC,LEEDS UNITED
59511,TAMWORTH,STOKE CITY,1.0,1.0,THIRD ROUND PROPER,2006,17.01.06,True,False,11319,6.0,,TAMWORTH,STOKE CITY
59521,WIGAN ATHLETIC,LEEDS UNITED,1.0,1.0,THIRD ROUND PROPER,2006,07.01.06,False,False,11305,6.0,,WIGAN ATHLETIC,LEEDS UNITED
59540,STOKE CITY,TAMWORTH,0.0,0.0,THIRD ROUND PROPER,2006,07.01.06,False,False,11286,6.0,,TAMWORTH,STOKE CITY
59824,HARROGATE TOWN,TORQUAY UNITED,0.0,0.0,FIRST ROUND PROPER,2006,15.11.05,True,False,722,8.0,,TORQUAY UNITED,HARROGATE TOWN
59826,RUSHDEN & DIAMONDS,FC HALIFAX TOWN,0.0,0.0,FIRST ROUND PROPER,2006,15.11.05,True,False,726,8.0,,RUSHDEN & DIAMONDS,FC HALIFAX TOWN
59835,FC HALIFAX TOWN,RUSHDEN & DIAMONDS,1.0,1.0,FIRST ROUND PROPER,2006,06.11.05,False,False,718,8.0,,RUSHDEN & DIAMONDS,FC HALIFAX TOWN
59865,TORQUAY UNITED,HARROGATE TOWN,1.0,1.0,FIRST ROUND PROPER,2006,05.11.05,False,False,683,8.0,,TORQUAY UNITED,HARROGATE TOWN
60741,MIDDLESBROUGH,BRISTOL CITY,2.0,2.0,FOURTH ROUND PROPER,2007,13.02.07,True,False,78969,5.0,,MIDDLESBROUGH,BRISTOL CITY
60750,BRISTOL CITY,MIDDLESBROUGH,2.0,2.0,FOURTH ROUND PROPER,2007,27.01.07,False,False,78705,5.0,,MIDDLESBROUGH,BRISTOL CITY
60956,WEST BROMWICH ALBION,MIDDLESBROUGH,1.0,1.0,FIFTH ROUND PROPER,2007,27.02.07,True,False,79216,4.0,,WEST BROMWICH ALBION,MIDDLESBROUGH
60962,MIDDLESBROUGH,WEST BROMWICH ALBION,2.0,2.0,FIFTH ROUND PROPER,2007,17.02.07,False,False,78981,4.0,,WEST BROMWICH ALBION,MIDDLESBROUGH
60974,HARTLEPOOL UNITED,ROCHDALE,0.0,0.0,FIRST ROUND PROPER,2007,20.11.06,True,False,77823,8.0,,ROCHDALE,HARTLEPOOL UNITED
61004,ROCHDALE,HARTLEPOOL UNITED,1.0,1.0,FIRST ROUND PROPER,2007,11.11.06,False,False,77584,8.0,,ROCHDALE,HARTLEPOOL UNITED
61349,BRISTOL ROVERS,LEYTON ORIENT,3.0,3.0,FIRST ROUND PROPER,2008,27.11.07,True,False,83419,8.0,,LEYTON ORIENT,BRISTOL ROVERS
61352,STAINES TOWN,STOCKPORT COUNTY,1.0,1.0,FIRST ROUND PROPER,2008,22.11.07,True,False,83391,8.0,,STOCKPORT COUNTY,STAINES TOWN
61381,LEYTON ORIENT,BRISTOL ROVERS,1.0,1.0,FIRST ROUND PROPER,2008,10.11.07,False,False,83000,8.0,,LEYTON ORIENT,BRISTOL ROVERS
61392,STOCKPORT COUNTY,STAINES TOWN,1.0,1.0,FIRST ROUND PROPER,2008,10.11.07,False,False,83026,8.0,,STOCKPORT COUNTY,STAINES TOWN
61940,BARNET,SWINDON TOWN,1.0,1.0,THIRD ROUND PROPER,2008,22.01.08,True,False,84229,6.0,,SWINDON TOWN,BARNET
61941,BRISTOL ROVERS,FULHAM,0.0,0.0,THIRD ROUND PROPER,2008,22.01.08,True,False,84231,6.0,,FULHAM,BRISTOL ROVERS
61942,SHEFFIELD WEDNESDAY,DERBY COUNTY,1.0,1.0,THIRD ROUND PROPER,2008,22.01.08,True,False,84228,6.0,,SHEFFIELD WEDNESDAY,DERBY COUNTY
61949,WEST BROMWICH ALBION,CHARLTON ATHLETIC,2.0,2.0,THIRD ROUND PROPER,2008,15.01.08,True,False,84072,6.0,,WEST BROMWICH ALBION,CHARLTON ATHLETIC
61953,DERBY COUNTY,SHEFFIELD WEDNESDAY,2.0,2.0,THIRD ROUND PROPER,2008,06.01.08,False,False,83615,6.0,,SHEFFIELD WEDNESDAY,DERBY COUNTY
61954,FULHAM,BRISTOL ROVERS,2.0,2.0,THIRD ROUND PROPER,2008,06.01.08,False,False,83609,6.0,,FULHAM,BRISTOL ROVERS
61965,CHARLTON ATHLETIC,WEST BROMWICH ALBION,1.0,1.0,THIRD ROUND PROPER,2008,05.01.08,False,False,83600,6.0,,WEST BROMWICH ALBION,CHARLTON ATHLETIC
61978,SWINDON TOWN,BARNET,1.0,1.0,THIRD ROUND PROPER,2008,05.01.08,False,False,83623,6.0,,SWINDON TOWN,BARNET
62150,ALTRINCHAM,LUTON TOWN,0.0,0.0,FIRST ROUND PROPER,2009,18.11.08,True,False,88703,8.0,,LUTON TOWN,ALTRINCHAM
62197,LUTON TOWN,ALTRINCHAM,0.0,0.0,FIRST ROUND PROPER,2009,08.11.08,False,False,88458,8.0,,LUTON TOWN,ALTRINCHAM
62205,MANCHESTER UNITED,EVERTON,0.0,0.0,SEMI-FINAL,2009,19.04.09,False,False,90560,2.0,,MANCHESTER UNITED,EVERTON
63501,DERBY COUNTY,MILLWALL,0.0,0.0,THIRD ROUND PROPER,2010,12.01.10,True,False,98587,6.0,,MILLWALL,DERBY COUNTY
63516,MILLWALL,DERBY COUNTY,1.0,1.0,THIRD ROUND PROPER,2010,02.01.10,False,False,98080,6.0,,MILLWALL,DERBY COUNTY
63880,MILTON KEYNES DONS,STEVENAGE,1.0,1.0,FIRST ROUND PROPER,2011,16.11.10,True,False,121747,8.0,,STEVENAGE,MILTON KEYNES DONS
63883,SOUTHEND UNITED,MACCLESFIELD TOWN,2.0,2.0,FIRST ROUND PROPER,2011,16.11.10,True,False,121131,8.0,,SOUTHEND UNITED,MACCLESFIELD TOWN
63886,WOKING,BRIGHTON & HOVE ALBION,2.0,2.0,FIRST ROUND PROPER,2011,16.11.10,True,False,121130,8.0,,WOKING,BRIGHTON & HOVE ALBION
63895,BRIGHTON & HOVE ALBION,WOKING,0.0,0.0,FIRST ROUND PROPER,2011,06.11.10,False,False,117114,8.0,,WOKING,BRIGHTON & HOVE ALBION
63914,MACCLESFIELD TOWN,SOUTHEND UNITED,2.0,2.0,FIRST ROUND PROPER,2011,06.11.10,False,False,117115,8.0,,SOUTHEND UNITED,MACCLESFIELD TOWN
63921,STEVENAGE,MILTON KEYNES DONS,0.0,0.0,FIRST ROUND PROPER,2011,06.11.10,False,False,117091,8.0,,STEVENAGE,MILTON KEYNES DONS
64650,CHELSEA,EVERTON,1.0,1.0,FOURTH ROUND PROPER,2011,19.02.11,True,False,146638,5.0,,EVERTON,CHELSEA
64657,EVERTON,CHELSEA,1.0,1.0,FOURTH ROUND PROPER,2011,29.01.11,False,False,139659,5.0,,EVERTON,CHELSEA
64798,WREXHAM,BRIGHTON & HOVE ALBION,1.0,1.0,THIRD ROUND PROPER,2012,18.01.12,True,False,212816,6.0,,WREXHAM,BRIGHTON & HOVE ALBION
64812,BRIGHTON & HOVE ALBION,WREXHAM,1.0,1.0,THIRD ROUND PROPER,2012,07.01.12,False,False,203811,6.0,,WREXHAM,BRIGHTON & HOVE ALBION
65438,WALSALL,DAGENHAM & REDBRIDGE,0.0,0.0,SECOND ROUND PROPER,2012,13.12.11,True,False,203790,7.0,,WALSALL,DAGENHAM & REDBRIDGE
65449,DAGENHAM & REDBRIDGE,WALSALL,1.0,1.0,SECOND ROUND PROPER,2012,03.12.11,False,False,198799,7.0,,WALSALL,DAGENHAM & REDBRIDGE
66206,HASTINGS UNITED,HARROGATE TOWN,1.0,1.0,SECOND ROUND PROPER,2013,13.12.12,True,False,310153,7.0,,HASTINGS UNITED,HARROGATE TOWN
66209,SOUTHEND UNITED,BURY,1.0,1.0,SECOND ROUND PROPER,2013,11.12.12,True,False,310148,7.0,,SOUTHEND UNITED,BURY
66213,HARROGATE TOWN,HASTINGS UNITED,1.0,1.0,SECOND ROUND PROPER,2013,01.12.12,False,False,267009,7.0,,HASTINGS UNITED,HARROGATE TOWN
66216,BURY,SOUTHEND UNITED,1.0,1.0,SECOND ROUND PROPER,2013,01.12.12,False,False,266995,7.0,,SOUTHEND UNITED,BURY
66535,BRADFORD CITY,NORTHAMPTON TOWN,3.0,3.0,FIRST ROUND PROPER,2013,13.11.12,True,False,266989,8.0,,NORTHAMPTON TOWN,BRADFORD CITY
66540,SLOUGH TOWN,MANSFIELD TOWN,1.0,1.0,FIRST ROUND PROPER,2013,13.11.12,True,False,266987,8.0,,SLOUGH TOWN,MANSFIELD TOWN
66568,MANSFIELD TOWN,SLOUGH TOWN,0.0,0.0,FIRST ROUND PROPER,2013,03.11.12,False,False,263135,8.0,,SLOUGH TOWN,MANSFIELD TOWN
66571,NORTHAMPTON TOWN,BRADFORD CITY,1.0,1.0,FIRST ROUND PROPER,2013,03.11.12,False,False,263142,8.0,,NORTHAMPTON TOWN,BRADFORD CITY
67182,WIGAN ATHLETIC,ARSENAL,1.0,1.0,SEMI-FINAL,2014,12.04.14,False,False,408081,2.0,,WIGAN ATHLETIC,ARSENAL
67570,WORCESTER CITY,SCUNTHORPE UNITED,1.0,1.0,SECOND ROUND PROPER,2015,17.12.14,True,False,434173,7.0,,WORCESTER CITY,SCUNTHORPE UNITED
67583,SCUNTHORPE UNITED,WORCESTER CITY,1.0,1.0,SECOND ROUND PROPER,2015,07.12.14,False,False,433979,7.0,,WORCESTER CITY,SCUNTHORPE UNITED
67798,WEST HAM UNITED,EVERTON,2.0,2.0,THIRD ROUND PROPER,2015,13.01.15,True,False,434349,6.0,,WEST HAM UNITED,EVERTON
67799,WOLVERHAMPTON WANDERERS,FULHAM,3.0,3.0,THIRD ROUND PROPER,2015,13.01.15,True,False,434329,6.0,,WOLVERHAMPTON WANDERERS,FULHAM
67800,EVERTON,WEST HAM UNITED,1.0,1.0,THIRD ROUND PROPER,2015,06.01.15,False,False,434237,6.0,,WEST HAM UNITED,EVERTON
67822,FULHAM,WOLVERHAMPTON WANDERERS,0.0,0.0,THIRD ROUND PROPER,2015,03.01.15,False,False,434234,6.0,,WOLVERHAMPTON WANDERERS,FULHAM
68526,ARSENAL,MANCHESTER UNITED,0.0,0.0,FINAL,2005,21 May 2005,False,False,5000103,1.0,,MANCHESTER UNITED,ARSENAL
68539,LIVERPOOL,WEST HAM UNITED,3.0,3.0,FINAL,2006,13 May 2006,False,False,5000116,1.0,,WEST HAM UNITED,LIVERPOOL
