round_id,round_name,year_id,year,stage
11754,Second Round Proper,71327,1974,7
11749,First Round Proper,71327,1974,6
11750,Fourth Qualifying Round,71327,1974,5
11757,Third Qualifying Round,71327,1974,4
11753,Second Qualifying Round,71327,1974,3
11748,First Qualifying Round,71327,1974,2
11752,Preliminary Round,71327,1974,1
11180,Semi-Final,71283,1925,13
11176,Fourth Round Proper,71283,1925,12
11183,Third Round Proper,71283,1925,11
11179,Second Round Proper,71283,1925,10
11174,First Round Proper,71283,1925,9
11181,Sixth Qualifying Round,71283,1925,8
11171,Fifth Qualifying Round,71283,1925,7
11175,Fourth Qualifying Round,71283,1925,6
11182,Third Qualifying Round,71283,1925,5
11178,Second Qualifying Round,71283,1925,4
11173,First Qualifying Round,71283,1925,3
11177,Preliminary Round,71283,1925,2
11170,Extra Preliminary Round,71283,1925,1
11166,Semi-Final,71282,1924,13
11162,Fourth Round Proper,71282,1924,12
11169,Third Round Proper,71282,1924,11
11165,Second Round Proper,71282,1924,10
11160,First Round Proper,71282,1924,9
11167,Sixth Qualifying Round,71282,1924,8
11157,Fifth Qualifying Round,71282,1924,7
11161,Fourth Qualifying Round,71282,1924,6
11168,Third Qualifying Round,71282,1924,5
11164,Second Qualifying Round,71282,1924,4
11159,First Qualifying Round,71282,1924,3
11163,Preliminary Round,71282,1924,2
11156,Extra Preliminary Round,71282,1924,1
9454,Semi-Final,71044,1996,12
9453,Sixth Round Proper,71044,1996,11
9452,Fifth Round Proper,71044,1996,10
9451,Fourth Round Proper,71044,1996,9
9450,Third Round Proper,71044,1996,8
9449,Second Round Proper,71044,1996,7
9448,First Round Proper,71044,1996,6
9447,Fourth Qualifying Round,71044,1996,5
9446,Third Qualifying Round,71044,1996,4
9445,Second Qualifying Round,71044,1996,3
9444,First Qualifying Round,71044,1996,2
9443,Preliminary Round,71044,1996,1
10863,Semi-Final,71258,1896,9
10865,Third Round Proper,71258,1896,8
10862,Second Round Proper,71258,1896,7
10858,First Round Proper,71258,1896,6
10859,Fourth Qualifying Round,71258,1896,5
10864,Third Qualifying Round,71258,1896,4
10861,Second Qualifying Round,71258,1896,3
10857,First Qualifying Round,71258,1896,2
10860,Preliminary Round,71258,1896,1
11487,Semi-Final,71306,1953,12
11488,Sixth Round Proper,71306,1953,11
11478,Fifth Round Proper,71306,1953,10
11483,Fourth Round Proper,71306,1953,9
11490,Third Round Proper,71306,1953,8
11486,Second Round Proper,71306,1953,7
11481,First Round Proper,71306,1953,6
11482,Fourth Qualifying Round,71306,1953,5
11489,Third Qualifying Round,71306,1953,4
11485,Second Qualifying Round,71306,1953,3
11480,First Qualifying Round,71306,1953,2
11484,Preliminary Round,71306,1953,1
11690,Semi-Final,71322,1969,12
11691,Sixth Round Proper,71322,1969,11
11681,Fifth Round Proper,71322,1969,10
11686,Fourth Round Proper,71322,1969,9
11693,Third Round Proper,71322,1969,8
11689,Second Round Proper,71322,1969,7
11684,First Round Proper,71322,1969,6
11685,Fourth Qualifying Round,71322,1969,5
11692,Third Qualifying Round,71322,1969,4
11688,Second Qualifying Round,71322,1969,3
11683,First Qualifying Round,71322,1969,2
11687,Preliminary Round,71322,1969,1
11677,Semi-Final,71321,1968,12
11678,Sixth Round Proper,71321,1968,11
11668,Fifth Round Proper,71321,1968,10
11673,Fourth Round Proper,71321,1968,9
11680,Third Round Proper,71321,1968,8
11676,Second Round Proper,71321,1968,7
11671,First Round Proper,71321,1968,6
11672,Fourth Qualifying Round,71321,1968,5
11679,Third Qualifying Round,71321,1968,4
11675,Second Qualifying Round,71321,1968,3
11670,First Qualifying Round,71321,1968,2
11674,Preliminary Round,71321,1968,1
11664,Semi-Final,71320,1967,11
11665,Sixth Round Proper,71320,1967,10
11656,Fifth Round Proper,71320,1967,9
11661,Fourth Round Proper,71320,1967,8
11667,Third Round Proper,71320,1967,7
11663,Second Round Proper,71320,1967,6
11659,First Round Proper,71320,1967,5
11660,Fourth Qualifying Round,71320,1967,4
11666,Third Qualifying Round,71320,1967,3
11662,Second Qualifying Round,71320,1967,2
11658,First Qualifying Round,71320,1967,1
11768,Semi-Final,71328,1975,12
11769,Sixth Round Proper,71328,1975,11
11759,Fifth Round Proper,71328,1975,10
11764,Fourth Round Proper,71328,1975,9
11771,Third Round Proper,71328,1975,8
11767,Second Round Proper,71328,1975,7
11762,First Round Proper,71328,1975,6
11763,Fourth Qualifying Round,71328,1975,5
11770,Third Qualifying Round,71328,1975,4
11766,Second Qualifying Round,71328,1975,3
11761,First Qualifying Round,71328,1975,2
11765,Preliminary Round,71328,1975,1
11781,Semi-Final,71329,1976,12
11782,Sixth Round Proper,71329,1976,11
11772,Fifth Round Proper,71329,1976,10
11777,Fourth Round Proper,71329,1976,9
11784,Third Round Proper,71329,1976,8
11780,Second Round Proper,71329,1976,7
11775,First Round Proper,71329,1976,6
11776,Fourth Qualifying Round,71329,1976,5
11783,Third Qualifying Round,71329,1976,4
11779,Second Qualifying Round,71329,1976,3
11774,First Qualifying Round,71329,1976,2
11778,Preliminary Round,71329,1976,1
11695,Final,71323,1970,13
11703,Semi-Final,71323,1970,12
11704,Sixth Round Proper,71323,1970,11
11694,Fifth Round Proper,71323,1970,10
11699,Fourth Round Proper,71323,1970,9
11706,Third Round Proper,71323,1970,8
11702,Second Round Proper,71323,1970,7
11697,First Round Proper,71323,1970,6
11698,Fourth Qualifying Round,71323,1970,5
11705,Third Qualifying Round,71323,1970,4
11701,Second Qualifying Round,71323,1970,3
11696,First Qualifying Round,71323,1970,2
11700,Preliminary Round,71323,1970,1
11222,Semi-Final,71286,1928,13
11223,Sixth Round Proper,71286,1928,12
11213,Fifth Round Proper,71286,1928,11
11218,Fourth Round Proper,71286,1928,10
11225,Third Round Proper,71286,1928,9
11221,Second Round Proper,71286,1928,8
11216,First Round Proper,71286,1928,7
11217,Fourth Qualifying Round,71286,1928,6
11224,Third Qualifying Round,71286,1928,5
11220,Second Qualifying Round,71286,1928,4
11215,First Qualifying Round,71286,1928,3
11219,Preliminary Round,71286,1928,2
11212,Extra Preliminary Round,71286,1928,1
11236,Semi-Final,71287,1929,13
11237,Sixth Round Proper,71287,1929,12
11227,Fifth Round Proper,71287,1929,11
11232,Fourth Round Proper,71287,1929,10
11239,Third Round Proper,71287,1929,9
11235,Second Round Proper,71287,1929,8
11230,First Round Proper,71287,1929,7
11231,Fourth Qualifying Round,71287,1929,6
11238,Third Qualifying Round,71287,1929,5
11234,Second Qualifying Round,71287,1929,4
11229,First Qualifying Round,71287,1929,3
11233,Preliminary Round,71287,1929,2
11226,Extra Preliminary Round,71287,1929,1
11138,Semi-Final,71280,1922,13
11134,Fourth Round Proper,71280,1922,12
11141,Third Round Proper,71280,1922,11
11137,Second Round Proper,71280,1922,10
11132,First Round Proper,71280,1922,9
11139,Sixth Qualifying Round,71280,1922,8
11129,Fifth Qualifying Round,71280,1922,7
11133,Fourth Qualifying Round,71280,1922,6
11140,Third Qualifying Round,71280,1922,5
11136,Second Qualifying Round,71280,1922,4
11131,First Qualifying Round,71280,1922,3
11135,Preliminary Round,71280,1922,2
11128,Extra Preliminary Round,71280,1922,1
9385,Semi-Final,71043,1995,12
9384,Sixth Round Proper,71043,1995,11
9383,Fifth Round Proper,71043,1995,10
9382,Fourth Round Proper,71043,1995,9
9381,Third Round Proper,71043,1995,8
9380,Second Round Proper,71043,1995,7
9379,First Round Proper,71043,1995,6
9378,Fourth Qualifying Round,71043,1995,5
9377,Third Qualifying Round,71043,1995,4
9376,Second Qualifying Round,71043,1995,3
9375,First Qualifying Round,71043,1995,2
9374,Preliminary Round,71043,1995,1
11716,Semi-Final,71324,1971,12
11717,Sixth Round Proper,71324,1971,11
11707,Fifth Round Proper,71324,1971,10
11712,Fourth Round Proper,71324,1971,9
11719,Third Round Proper,71324,1971,8
11715,Second Round Proper,71324,1971,7
11710,First Round Proper,71324,1971,6
11711,Fourth Qualifying Round,71324,1971,5
11718,Third Qualifying Round,71324,1971,4
11714,Second Qualifying Round,71324,1971,3
11709,First Qualifying Round,71324,1971,2
11713,Preliminary Round,71324,1971,1
11292,Semi-Final,71291,1933,13
11293,Sixth Round Proper,71291,1933,12
11283,Fifth Round Proper,71291,1933,11
11288,Fourth Round Proper,71291,1933,10
11295,Third Round Proper,71291,1933,9
