home_team,away_team,round,year,replay,match_id,winner
MARLOW,READING,FOURTH ROUND PROPER,1882,FALSE,16582,BYE
READING,WEST END,SECOND ROUND PROPER,1882,FALSE,16551,BYE
MARLOW,READING MINSTER,SECOND ROUND PROPER,1883,FALSE,16659,BYE
GRIMSBY TOWN,QUEEN'S PARK (GLASGOW),FIRST ROUND PROPER,1883,FALSE,16613,BYE
NOTTINGHAM FOREST,BRIGG BRITTANIA,FIRST ROUND PROPER,1883,FALSE,16624,BYE
PHOENIX BESSEMER,GRANTHAM TOWN,FIRST ROUND PROPER,1883,FALSE,16628,BYE
READING MINSTER,REMNANTS,FIRST ROUND PROPER,1883,FALSE,16630,BYE
PRESTON NORTH END,UPTON PARK,FOURTH ROUND PROPER,1884,FALSE,16816,BYE
CLAPHAM ROVERS,KILDARE,FIRST ROUND PROPER,1884,FALSE,16716,BYE
NOTTINGHAM FOREST,REDCAR,FIRST ROUND PROPER,1884,FALSE,16733,BYE
WREXHAM OLYMPIC,LIVERPOOL RAMBLERS,FIRST ROUND PROPER,1884,FALSE,16758,BYE
BOLTON ASSOCIATION,ASTLEY BRIDGE,FIRST ROUND PROPER,1885,FALSE,16835,BYE
CHATHAM,WINDSOR HOME PARK,FIRST ROUND PROPER,1885,FALSE,16837,BYE
CLITHEROE LOW MOOR,BLACKBURN PARK ROAD,FIRST ROUND PROPER,1885,FALSE,16841,BYE
MIDDLESBROUGH,GRIMSBY DISTRICT,FIRST ROUND PROPER,1885,FALSE,16864,BYE
NEWTOWN,STAFFORD RANGERS,FIRST ROUND PROPER,1885,FALSE,16866,BYE
QUEEN'S PARK (GLASGOW),STOKE CITY,FIRST ROUND PROPER,1885,FALSE,16871,BYE
SOUTH SHORE,RAWTENSTALL,FIRST ROUND PROPER,1885,FALSE,16877,BYE
UPTON PARK,WEST END,FIRST ROUND PROPER,1885,TRUE,16890,BYE
WITTON,CLITHEROE,FIRST ROUND PROPER,1885,FALSE,16883,BYE
OLD WESTMINSTERS,BOLTON WANDERERS,FIFTH ROUND PROPER,1886,FALSE,17126,BYE
RAWTENSTALL,BOLTON WANDERERS,SECOND ROUND PROPER,1886,FALSE,17071,BYE
CHURCH,THIRD LANARK,SECOND ROUND PROPER,1886,FALSE,17050,BYE
CREWE ALEXANDRA,OSWESTRY,SECOND ROUND PROPER,1886,TRUE,17083,BYE
LEEK,NEWTOWN,SECOND ROUND PROPER,1886,FALSE,17060,BYE
SOUTH READING,CLAPTON,SECOND ROUND PROPER,1886,TRUE,17085,BYE
