year,pos,league,team,round,stage
1954,4,NORTH-EASTERN LEAGUE,HORDEN CW,FIRST ROUND PROPER,8.0
1954,14,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1954,3,NORTHERN LEAGUE,FERRYHILL ATHLETIC,FIRST ROUND PROPER,8.0
1954,3,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1954,8,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1954,11,SOUTHERN LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1954,12,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1954,1,YORKSHIRE LEAGUE - FIRST DIVISION,SELBY TOWN,FIRST ROUND PROPER,8.0
1955,11,ATHENIAN LEAGUE,BARNET,FIRST ROUND PROPER,8.0
1955,9,BIRMINGHAM AND DISTRICT LEAGUE - NORTHERN DIVISION,HINCKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1955,1,CHESHIRE COUNTY LEAGUE,HYDE UNITED,FIRST ROUND PROPER,8.0
1955,2,CHESHIRE COUNTY LEAGUE,WELLINGTON,FIRST ROUND PROPER,8.0
1955,16,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1955,1,CORINTHIAN LEAGUE,HOUNSLOW TOWN,FIRST ROUND PROPER,8.0
1955,4,EASTERN COUNTIES LEAGUE,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
1955,1,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1955,7,KENT LEAGUE - DIVISION 1,TUNBRIDGE WELLS UNITED,FIRST ROUND PROPER,8.0
1955,3,LANCASHIRE COMBINATION - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1955,11,LANCASHIRE COMBINATION - DIVISION 1,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1955,5,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1955,12,MIDLAND COUNTIES LEAGUE,CORBY TOWN,FIRST ROUND PROPER,8.0
1955,5,NORTH-EASTERN LEAGUE,HORDEN CW,FIRST ROUND PROPER,8.0
1955,9,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1955,1,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1955,2,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1955,6,NORTHERN LEAGUE,STANLEY UNITED,FIRST ROUND PROPER,8.0
1955,12,SOUTHERN LEAGUE,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1955,15,SOUTHERN LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1955,18,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1955,21,SOUTHERN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1955,1,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1955,10,WESTERN LEAGUE - DIVISION 1,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
1955,2,WESTERN LEAGUE - DIVISION 2,FROME TOWN,FIRST ROUND PROPER,8.0
1955,6,YORKSHIRE LEAGUE - FIRST DIVISION,SELBY TOWN,FIRST ROUND PROPER,8.0
1956,1,ATHENIAN LEAGUE,HENDON,FIRST ROUND PROPER,8.0
1956,9,ATHENIAN LEAGUE,SOUTHALL,FIRST ROUND PROPER,8.0
1956,13,ATHENIAN LEAGUE,LEYTON,FIRST ROUND PROPER,8.0
1956,5,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,BURTON ALBION,FIRST ROUND PROPER,8.0
1956,11,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,HALESOWEN TOWN,FIRST ROUND PROPER,8.0
1956,2,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1956,4,CHESHIRE COUNTY LEAGUE,NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1956,2,EASTERN COUNTIES LEAGUE,MARCH TOWN UNITED,FIRST ROUND PROPER,8.0
1956,1,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1956,1,KENT LEAGUE - DIVISION 1,RAMSGATE ATHLETIC,FIRST ROUND PROPER,8.0
1956,2,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1956,4,LANCASHIRE COMBINATION - DIVISION 1,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1956,12,LANCASHIRE COMBINATION - DIVISION 1,ASHTON UNITED,FIRST ROUND PROPER,8.0
1956,2,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1956,16,MIDLAND COUNTIES LEAGUE,WORKSOP TOWN,FIRST ROUND PROPER,8.0
1956,18,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1956,24,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1956,1,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1956,2,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1956,3,NORTHERN LEAGUE,DURHAM CITY,FIRST ROUND PROPER,8.0
1956,8,NORTHERN LEAGUE,SHILDON,FIRST ROUND PROPER,8.0
1956,8,SOUTHERN LEAGUE,LOVELLS ATHLETIC,FIRST ROUND PROPER,8.0
1956,13,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1956,3,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1956,5,WESTERN LEAGUE - DIVISION 1,SALISBURY,FIRST ROUND PROPER,8.0
1957,2,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,BROMSGROVE ROVERS,FIRST ROUND PROPER,8.0
1957,5,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1957,1,CORINTHIAN LEAGUE,YIEWSLEY,FIRST ROUND PROPER,8.0
1957,6,ISTHMIAN LEAGUE - SENIOR SECTION,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1957,8,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1957,8,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1957,2,LANCASHIRE COMBINATION - DIVISION 1,NEW BRIGHTON,FIRST ROUND PROPER,8.0
1957,3,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1957,10,LANCASHIRE COMBINATION - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1957,3,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1957,21,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1957,23,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1957,2,NORTH-EASTERN LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1957,8,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1957,1,NORTHERN LEAGUE,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1957,3,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1957,10,NORTHERN LEAGUE,EVENWOOD TOWN,FIRST ROUND PROPER,8.0
1957,4,SOUTHERN LEAGUE,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
