year,pos,league,team,round,stage
1963,2,SOUTHERN LEAGUE - FIRST DIVISION,HINCKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1963,9,SOUTHERN LEAGUE - FIRST DIVISION,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1963,17,SOUTHERN LEAGUE - FIRST DIVISION,SITTINGBOURNE,FIRST ROUND PROPER,8.0
1963,4,WESTERN LEAGUE,ANDOVER,FIRST ROUND PROPER,8.0
1964,1,ATHENIAN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1964,9,ATHENIAN LEAGUE - PREMIER DIVISION,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
1964,4,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1964,11,CHESHIRE COUNTY LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8.0
1964,3,EASTERN COUNTIES LEAGUE,HARWICH & PARKESTON,FIRST ROUND PROPER,8.0
1964,1,ISTHMIAN LEAGUE - SENIOR SECTION,WIMBLEDON,FIRST ROUND PROPER,8.0
1964,4,ISTHMIAN LEAGUE - SENIOR SECTION,SUTTON UNITED,FIRST ROUND PROPER,8.0
1964,5,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1964,7,ISTHMIAN LEAGUE - SENIOR SECTION,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1964,1,LANCASHIRE COMBINATION - DIVISION 1,CHORLEY,FIRST ROUND PROPER,8.0
1964,2,LANCASHIRE COMBINATION - DIVISION 1,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1964,2,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1964,9,SOUTHERN LEAGUE - PREMIER DIVISION,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
1964,17,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1964,20,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1964,1,SOUTHERN LEAGUE - FIRST DIVISION,FOLKESTONE,FIRST ROUND PROPER,8.0
1964,5,SOUTHERN LEAGUE - FIRST DIVISION,CORBY TOWN,FIRST ROUND PROPER,8.0
1964,13,SOUTHERN LEAGUE - FIRST DIVISION,TROWBRIDGE TOWN,FIRST ROUND PROPER,8.0
1964,3,WESTERN LEAGUE,BRIDGWATER TOWN,FIRST ROUND PROPER,8.0
1965,1,ATHENIAN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1965,6,ATHENIAN LEAGUE - PREMIER DIVISION,HAYES & YEADING UNITED,FIRST ROUND PROPER,8.0
1965,1,CHESHIRE COUNTY LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1965,2,CHESHIRE COUNTY LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1965,4,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1965,1,ISTHMIAN LEAGUE - SENIOR SECTION,HENDON,FIRST ROUND PROPER,8.0
1965,2,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1965,1,LANCASHIRE COMBINATION - DIVISION 1,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1965,5,LANCASHIRE COMBINATION - DIVISION 1,SOUTH LIVERPOOL,FIRST ROUND PROPER,8.0
1965,15,MIDLAND COUNTIES LEAGUE,SPALDING UNITED,FIRST ROUND PROPER,8.0
1965,2,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1965,11,SOUTHERN LEAGUE - PREMIER DIVISION,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
1965,19,SOUTHERN LEAGUE - PREMIER DIVISION,WISBECH TOWN,FIRST ROUND PROPER,8.0
1965,1,SOUTHERN LEAGUE - FIRST DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1965,4,SOUTHERN LEAGUE - FIRST DIVISION,CORBY TOWN,FIRST ROUND PROPER,8.0
1965,11,SOUTHERN LEAGUE - FIRST DIVISION,CANTERBURY CITY,FIRST ROUND PROPER,8.0
1965,12,SOUTHERN LEAGUE - FIRST DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1965,1,WESTERN LEAGUE,WELTON ROVERS,FIRST ROUND PROPER,8.0
1965,2,WESTERN LEAGUE,BIDEFORD,FIRST ROUND PROPER,8.0
1965,10,WESTERN LEAGUE,SALISBURY,FIRST ROUND PROPER,8.0
1965,1,WEST MIDLANDS (REGIONAL) LEAGUE,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1966,1,ISTHMIAN LEAGUE - SENIOR SECTION,LEYTONSTONE,FIRST ROUND PROPER,8.0
1966,2,ISTHMIAN LEAGUE - SENIOR SECTION,HENDON,FIRST ROUND PROPER,8.0
1966,4,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1966,6,ISTHMIAN LEAGUE - SENIOR SECTION,WEALDSTONE,FIRST ROUND PROPER,8.0
1966,11,ISTHMIAN LEAGUE - SENIOR SECTION,CORINTHIAN CASUALS,FIRST ROUND PROPER,8.0
1966,1,LANCASHIRE COMBINATION - DIVISION 1,SOUTH LIVERPOOL,FIRST ROUND PROPER,8.0
1966,13,LANCASHIRE COMBINATION - DIVISION 1,FLEETWOOD,FIRST ROUND PROPER,8.0
1966,8,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1966,3,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1966,7,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8.0
1966,9,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1966,15,SOUTHERN LEAGUE - PREMIER DIVISION,FOLKESTONE,FIRST ROUND PROPER,8.0
1966,16,SOUTHERN LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8.0
1966,4,SOUTHERN LEAGUE - FIRST DIVISION,BATH CITY,FIRST ROUND PROPER,8.0
1966,4,UNITED COUNTIES LEAGUE - DIVISION 1,WELLINGBOROUGH TOWN,FIRST ROUND PROPER,8.0
1966,4,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1967,3,ATHENIAN LEAGUE - FIRST DIVISION,CHESHAM UNITED,FIRST ROUND PROPER,8.0
1967,3,ATHENIAN LEAGUE - SECOND DIVISION,HORSHAM,FIRST ROUND PROPER,8.0
1967,7,CHESHIRE COUNTY LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1967,1,EASTERN COUNTIES LEAGUE,LOWESTOFT TOWN,FIRST ROUND PROPER,8.0
1967,1,ISTHMIAN LEAGUE - SENIOR SECTION,SUTTON UNITED,FIRST ROUND PROPER,8.0
1967,3,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1967,4,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1967,5,ISTHMIAN LEAGUE - SENIOR SECTION,HENDON,FIRST ROUND PROPER,8.0
1967,10,ISTHMIAN LEAGUE - SENIOR SECTION,OXFORD CITY,FIRST ROUND PROPER,8.0
1967,12,ISTHMIAN LEAGUE - SENIOR SECTION,WEALDSTONE,FIRST ROUND PROPER,8.0
1967,1,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1967,1,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1967,9,NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1967,11,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1967,12,SOUTHERN LEAGUE - PREMIER DIVISION,CAMBRIDGE CITY,FIRST ROUND PROPER,8.0
1967,17,SOUTHERN LEAGUE - PREMIER DIVISION,POOLE TOWN,FIRST ROUND PROPER,8.0
1967,19,SOUTHERN LEAGUE - PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8.0
1967,22,SOUTHERN LEAGUE - PREMIER DIVISION,FOLKESTONE,FIRST ROUND PROPER,8.0
1967,11,SOUTHERN LEAGUE - FIRST DIVISION,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1967,2,UNITED COUNTIES LEAGUE - DIVISION 1,ST NEOTS TOWN,FIRST ROUND PROPER,8.0
1967,1,WESTERN LEAGUE,WELTON ROVERS,FIRST ROUND PROPER,8.0
1967,5,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,TAMWORTH,FIRST ROUND PROPER,8.0
1968,2,ATHENIAN LEAGUE - PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1968,1,CHESHIRE COUNTY LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1968,2,CHESHIRE COUNTY LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1968,13,CHESHIRE COUNTY LEAGUE,RUNCORN,FIRST ROUND PROPER,8.0
1968,1,EASTERN COUNTIES LEAGUE,LOWESTOFT TOWN,FIRST ROUND PROPER,8.0
1968,1,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1968,4,ISTHMIAN LEAGUE - SENIOR SECTION,LEYTONSTONE,FIRST ROUND PROPER,8.0
1968,6,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1968,10,ISTHMIAN LEAGUE - SENIOR SECTION,OXFORD CITY,FIRST ROUND PROPER,8.0
1968,3,LANCASHIRE COMBINATION - DIVISION 1,SKELMERSDALE UNITED,FIRST ROUND PROPER,8.0
1968,3,MIDLAND COUNTIES LEAGUE,ARNOLD,FIRST ROUND PROPER,8.0
1968,5,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1968,1,NORTHERN LEAGUE,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1968,3,NORTHERN LEAGUE,TOW LAW TOWN,FIRST ROUND PROPER,8.0
1968,5,SOUTHERN LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8.0
1968,6,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8.0
1968,7,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1968,8,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1968,13,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1968,16,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1968,20,SOUTHERN LEAGUE - PREMIER DIVISION,CORBY TOWN,FIRST ROUND PROPER,8.0
1968,10,SOUTHERN LEAGUE - FIRST DIVISION,TONBRIDGE ANGELS,FIRST ROUND PROPER,8.0
1968,2,WESTERN LEAGUE,SALISBURY,FIRST ROUND PROPER,8.0
1968,3,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1969,12,ATHENIAN LEAGUE - FIRST DIVISION,CHESHAM UNITED,FIRST ROUND PROPER,8.0
1969,14,ATHENIAN LEAGUE - FIRST DIVISION,WARE,FIRST ROUND PROPER,8.0
1969,1,CHESHIRE COUNTY LEAGUE,SKELMERSDALE UNITED,FIRST ROUND PROPER,8.0
1969,5,ISTHMIAN LEAGUE - SENIOR SECTION,WEALDSTONE,FIRST ROUND PROPER,8.0
1969,7,ISTHMIAN LEAGUE - SENIOR SECTION,ST ALBANS CITY,FIRST ROUND PROPER,8.0
1969,9,ISTHMIAN LEAGUE - SENIOR SECTION,OXFORD CITY,FIRST ROUND PROPER,8.0
1969,11,ISTHMIAN LEAGUE - SENIOR SECTION,LEYTONSTONE,FIRST ROUND PROPER,8.0
1969,16,ISTHMIAN LEAGUE - SENIOR SECTION,WOKING,FIRST ROUND PROPER,8.0
1969,1,METROPOLITAN LEAGUE,BURY TOWN,FIRST ROUND PROPER,8.0
1969,4,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1969,3,NORTHERN LEAGUE,TOW LAW TOWN,FIRST ROUND PROPER,8.0
1969,3,NORTHERN PREMIER LEAGUE,MORECAMBE,FIRST ROUND PROPER,8.0
1969,5,NORTHERN PREMIER LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1969,6,NORTHERN PREMIER LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1969,8,NORTHERN PREMIER LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1969,7,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1969,9,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1969,12,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1969,14,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1969,18,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1969,19,SOUTHERN LEAGUE - PREMIER DIVISION,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1969,1,SOUTHERN LEAGUE - FIRST DIVISION,BRENTWOOD TOWN,FIRST ROUND PROPER,8.0
1969,6,SOUTHERN LEAGUE - FIRST DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1969,13,SOUTHERN LEAGUE - FIRST DIVISION,CANTERBURY CITY,FIRST ROUND PROPER,8.0
1969,1,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1969,14,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,BILSTON,FIRST ROUND PROPER,8.0
1970,2,ATHENIAN LEAGUE - PREMIER DIVISION,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1970,3,ATHENIAN LEAGUE - PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1970,9,ATHENIAN LEAGUE - FIRST DIVISION,CARSHALTON ATHLETIC,FIRST ROUND PROPER,8.0
1970,2,CHESHIRE COUNTY LEAGUE,MOSSLEY,FIRST ROUND PROPER,8.0
1970,1,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1970,3,ISTHMIAN LEAGUE - SENIOR SECTION,SUTTON UNITED,FIRST ROUND PROPER,8.0
1970,5,ISTHMIAN LEAGUE - SENIOR SECTION,HENDON,FIRST ROUND PROPER,8.0
1970,4,LANCASHIRE COMBINATION,KIRKBY TOWN,FIRST ROUND PROPER,8.0
1970,1,MIDLAND COUNTIES LEAGUE,ALFRETON TOWN,FIRST ROUND PROPER,8.0
1970,2,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1970,4,NORTHERN LEAGUE,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1970,6,NORTHERN LEAGUE,NORTH SHIELDS,FIRST ROUND PROPER,8.0
1970,10,NORTHERN LEAGUE,WHITBY TOWN,FIRST ROUND PROPER,8.0
1970,1,NORTHERN PREMIER LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
1970,5,NORTHERN PREMIER LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1970,8,NORTHERN PREMIER LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1970,3,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1970,5,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8.0
1970,6,SOUTHERN LEAGUE - PREMIER DIVISION,HILLINGDON BOROUGH,FIRST ROUND PROPER,8.0
1970,7,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1970,8,SOUTHERN LEAGUE - PREMIER DIVISION,TELFORD UNITED,FIRST ROUND PROPER,8.0
1970,10,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1970,13,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1970,10,SOUTHERN LEAGUE - FIRST DIVISION,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1970,4,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,TAMWORTH,FIRST ROUND PROPER,8.0
1971,1,ATHENIAN LEAGUE - PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1971,2,ATHENIAN LEAGUE - PREMIER DIVISION,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1971,3,ATHENIAN LEAGUE - PREMIER DIVISION,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1971,12,ATHENIAN LEAGUE - PREMIER DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1971,1,ATHENIAN LEAGUE - FIRST DIVISION,AVELEY,FIRST ROUND PROPER,8.0
1971,14,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1971,1,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1971,4,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1971,6,ISTHMIAN LEAGUE - SENIOR SECTION,HENDON,FIRST ROUND PROPER,8.0
1971,11,ISTHMIAN LEAGUE - SENIOR SECTION,OXFORD CITY,FIRST ROUND PROPER,8.0
1971,1,MIDLAND COUNTIES LEAGUE,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1971,3,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1971,4,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1971,7,NORTHERN PREMIER LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1971,13,NORTHERN PREMIER LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1971,19,NORTHERN PREMIER LEAGUE,GREAT HARWOOD,FIRST ROUND PROPER,8.0
1971,1,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1971,4,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1971,6,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1971,9,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8.0
1971,10,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1971,13,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1971,17,SOUTHERN LEAGUE - PREMIER DIVISION,TELFORD UNITED,FIRST ROUND PROPER,8.0
1971,10,SOUTHERN LEAGUE - FIRST DIVISION,CRAWLEY TOWN,FIRST ROUND PROPER,8.0
1971,15,SOUTHERN LEAGUE - FIRST DIVISION,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1971,5,WESTERN LEAGUE,MINEHEAD,FIRST ROUND PROPER,8.0
1971,4,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,TAMWORTH,FIRST ROUND PROPER,8.0
1972,2,ATHENIAN LEAGUE - PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1972,6,ATHENIAN LEAGUE - PREMIER DIVISION,MAIDENHEAD UNITED,FIRST ROUND PROPER,8.0
1972,2,CHESHIRE COUNTY LEAGUE,ROSSENDALE UNITED,FIRST ROUND PROPER,8.0
1972,2,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1972,2,NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1972,2,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1972,4,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1972,8,NORTHERN PREMIER LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1972,9,NORTHERN PREMIER LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1972,10,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1972,11,NORTHERN PREMIER LEAGUE,SKELMERSDALE UNITED,FIRST ROUND PROPER,8.0
1972,16,NORTHERN PREMIER LEAGUE,ELLESMERE PORT TOWN,FIRST ROUND PROPER,8.0
1972,2,SOUTHERN LEAGUE - PREMIER DIVISION,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1972,3,SOUTHERN LEAGUE - PREMIER DIVISION,DOVER,FIRST ROUND PROPER,8.0
1972,4,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1972,6,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1972,8,SOUTHERN LEAGUE - PREMIER DIVISION,HILLINGDON BOROUGH,FIRST ROUND PROPER,8.0
1972,9,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1972,11,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8.0
1972,12,SOUTHERN LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8.0
1972,13,SOUTHERN LEAGUE - PREMIER DIVISION,TELFORD UNITED,FIRST ROUND PROPER,8.0
1972,7,SOUTHERN LEAGUE - FIRST DIVISION NORTH,KING'S LYNN,FIRST ROUND PROPER,8.0
1972,4,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,CRAWLEY TOWN,FIRST ROUND PROPER,8.0
1972,8,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,BASINGSTOKE TOWN,FIRST ROUND PROPER,8.0
1972,10,WESTERN LEAGUE,BRIDGWATER TOWN,FIRST ROUND PROPER,8.0
1972,6,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,REDDITCH UNITED,FIRST ROUND PROPER,8.0
1973,16,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1973,1,ISTHMIAN LEAGUE - SENIOR SECTION,HENDON,FIRST ROUND PROPER,8.0
1973,2,ISTHMIAN LEAGUE - SENIOR SECTION,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1973,9,ISTHMIAN LEAGUE - SENIOR SECTION,ENFIELD,FIRST ROUND PROPER,8.0
1973,10,ISTHMIAN LEAGUE - SENIOR SECTION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1973,11,ISTHMIAN LEAGUE - SENIOR SECTION,HAYES & YEADING UNITED,FIRST ROUND PROPER,8.0
1973,5,NORTHERN LEAGUE,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1973,1,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1973,2,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1973,4,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1973,6,NORTHERN PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1973,13,NORTHERN PREMIER LEAGUE,BANGOR CITY,FIRST ROUND PROPER,8.0
1973,20,NORTHERN PREMIER LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1973,22,NORTHERN PREMIER LEAGUE,LANCASTER CITY,FIRST ROUND PROPER,8.0
1973,1,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1973,2,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1973,4,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1973,7,SOUTHERN LEAGUE - PREMIER DIVISION,MARGATE,FIRST ROUND PROPER,8.0
1973,10,SOUTHERN LEAGUE - PREMIER DIVISION,TELFORD UNITED,FIRST ROUND PROPER,8.0
1973,13,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1973,15,SOUTHERN LEAGUE - PREMIER DIVISION,HILLINGDON BOROUGH,FIRST ROUND PROPER,8.0
1973,18,SOUTHERN LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8.0
1973,1,SOUTHERN LEAGUE - FIRST DIVISION NORTH,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1973,12,SOUTHERN LEAGUE - FIRST DIVISION NORTH,BANBURY UNITED,FIRST ROUND PROPER,8.0
1973,2,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,TONBRIDGE ANGELS,FIRST ROUND PROPER,8.0
1973,19,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,BOGNOR REGIS TOWN,FIRST ROUND PROPER,8.0
1973,7,WESTERN LEAGUE,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
1973,1,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,BILSTON,FIRST ROUND PROPER,8.0
1974,1,ATHENIAN LEAGUE - DIVISION 1,BOREHAM WOOD,FIRST ROUND PROPER,8.0
1974,7,CHESHIRE COUNTY LEAGUE,FORMBY,FIRST ROUND PROPER,8.0
1974,1,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION ONE,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1974,2,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION ONE,HENDON,FIRST ROUND PROPER,8.0
1974,6,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION ONE,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1974,8,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION ONE,LEYTONSTONE,FIRST ROUND PROPER,8.0
1974,10,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION ONE,HAYES & YEADING UNITED,FIRST ROUND PROPER,8.0
1974,13,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION ONE,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1974,1,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 2,DAGENHAM,FIRST ROUND PROPER,8.0
1974,2,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 2,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1974,1,MIDLAND COUNTIES LEAGUE,ALFRETON TOWN,FIRST ROUND PROPER,8.0
1974,2,NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1974,3,NORTHERN LEAGUE,WILLINGTON,FIRST ROUND PROPER,8.0
1974,1,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1974,3,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
