year,pos,league,team,round,stage,match1,match2,match3
1966.0,,,SOUTH SHIELDS,FIRST ROUND PROPER,8.0,"('NORTH SHIELDS', 85)","('SOUTHALL', 66)","('SOUTH LIVERPOOL', 64)"
1967.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('HEMEL HEMPSTEAD TOWN', 86)","('STONY STRATFORD TOWN', 86)","('STAFFORD TOWN AMATEURS', 86)"
1967.0,,,SOUTH SHIELDS,FIRST ROUND PROPER,8.0,"('NORTH SHIELDS', 85)","('SOUTHALL', 66)","('SOUTH LIVERPOOL', 64)"
1967.0,,,WITTON ALBION,FIRST ROUND PROPER,8.0,"('WITTON/BANGOR ALBION', 86)","('BRIGHTON & HOVE ALBION', 86)","('BURTON ALBION', 77)"
1968.0,,,COLLIERY WELFARE,FIRST ROUND PROPER,8.0,"('FRICKLEY COLLIERY', 69)","('CRESWELL COLLIERY', 69)","('LINBY COLLIERY', 69)"
1968.0,,,FALMOUTH TOWN,FIRST ROUND PROPER,8.0,"('HEMEL HEMPSTEAD TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1968.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('HEMEL HEMPSTEAD TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1969.0,,,WATERLOOVILLE,FIRST ROUND PROPER,8.0,"('WARE', 68)","('WARLEY', 60)","('WELTON ROVERS', 54)"
1970.0,,,FALMOUTH TOWN,FIRST ROUND PROPER,8.0,"('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)","('STONY STRATFORD TOWN', 86)"
1971.0,,,BRADFORD PARK AVENUE,FIRST ROUND PROPER,8.0,"('BRADFORD (P.A.)', 86)","('BIDEFORD', 68)","('ROMFORD', 64)"
1971.0,,,RINGMER,FIRST ROUND PROPER,8.0,"('SOHAM TOWN RANGERS', 64)","('TRANMERE ROVERS', 64)","('STAFFORD RANGERS', 64)"
1972.0,,,ALVECHURCH,FIRST ROUND PROPER,8.0,"('HORNCHURCH', 60)","('LETCHWORTH TOWN', 54)","('ALTRINCHAM', 50)"
1972.0,,,FRICKLEY COLLIERY,FIRST ROUND PROPER,8.0,"('BEDDESLEY COLLIERY', 69)","('FINCHLEY', 68)","('FRICKLEY ATHLETIC', 65)"
1972.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)","('TAUNTON TOWN', 80)"
1972.0,,,WITNEY UNITED,FIRST ROUND PROPER,8.0,"('HAYES & YEADING UNITED', 86)","('TOOTING & MITCHAM UNITED', 86)","('WELWYN GARDEN UNITED', 86)"
1973.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1974.0,,,FRICKLEY COLLIERY,FIRST ROUND PROPER,8.0,"('FINCHLEY', 68)","('FRICKLEY ATHLETIC', 65)","('LEYTON', 60)"
