year,pos,league,team,round,stage,match1,match2,match3
1952,12,NORTH EASTERN LEAGUE,BLACKHALL COLLIERY WELFARE,FIRST ROUND PROPER,8,"('WHITWICK COLLIERY', 86)","('LINBY COLLIERY', 86)","('CRESWELL COLLIERY', 86)"
1952,5,KENT LEAGUE,FOLKESTONE,FIRST ROUND PROPER,8,"('GORLESTON', 74)","('LEYTONSTONE', 67)","('LEYTON', 63)"
1952,1,SOUTHERN LEAGUE,MERTHYR TOWN,FIRST ROUND PROPER,8,"('LYE TOWN', 86)","('ELLESMERE PORT TOWN', 86)","('WELLINGBOROUGH TOWN', 86)"
1952,3,SHEFFIELD ALLIANCE,RAWMARSH WELFARE,FIRST ROUND PROPER,8,"('S. NORMANTON WELFARE', 66)","('ALTOFTS WELFARE', 65)","('BENTINCK WELFARE', 58)"
1953,5,EASTERN COUNTIES,GREAT YARMOUTH TOWN,FIRST ROUND PROPER,8,"('GT. YARMOUTH TOWN', 89)","('HITCHIN TOWN', 86)","('LYE TOWN', 86)"
1953,7,SOUTHERN LEAGUE,LLANELLI,FIRST ROUND PROPER,8,"('LLANELLY', 88)","('BRIERLEY HILL ALLIANCE', 68)","('CRESWELL COLLIERY', 57)"
1953,1,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8,"('ELLESMERE PORT TOWN', 60)","('LETCHWORTH TOWN', 59)","('LETCHWORTH TOWN', 59)"
1954,5,EASTERN COUNTIES,GREAT YARMOUTH TOWN,FIRST ROUND PROPER,8,"('GT. YARMOUTH TOWN', 89)","('HITCHIN TOWN', 86)","('LYE TOWN', 86)"
1954,13,SOUTHERN LEAGUE,LLANELLI,FIRST ROUND PROPER,8,"('LLANELLY', 88)","('BRIERLEY HILL ALLIANCE', 68)","('CRESWELL COLLIERY', 57)"
1954,1,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8,"('ELLESMERE PORT TOWN', 60)","('NEWBURY TOWN', 58)","('BEDWORTH', 57)"
1954,4,BIRMINGHAM & DISTRICT,NUNEATON TOWN,FIRST ROUND PROPER,8,"('LYE TOWN', 86)","('LONG EATON TOWN', 79)","('LUTON TOWN', 78)"
1955,3,CENTRAL ALLIANCE FIRST DIVISION SOUTH,CRESWELL COLLIERY,FIRST ROUND PROPER,8,"('THORNE COLLIERY', 69)","('DESFORD COLLIERY', 67)","('BENTLEY COLLIERY', 67)"
1955,2,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8,"('BEDWORTH TOWN', 64)","('ELLESMERE PORT TOWN', 60)","('LETCHWORTH TOWN', 59)"
1955,1,BIRMINGHAM & DISTRICT NORTHERN,NUNEATON TOWN,FIRST ROUND PROPER,8,"('LYE TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('WOLVERTON TOWN & B.R', 86)"
1956,4,WEARSIDE LEAGUE,EASINGTON CW,FIRST ROUND PROPER,8,"('ASHINGTON', 76)","('WELLINGTON', 69)","('LOCKHEED (LEAMINGTON)', 68)"
1956,1,LINCONSHIRE LEAGUE,SKEGNESS TOWN,FIRST ROUND PROPER,8,"('LYE TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)"
