year,pos,league,team,round,stage,match1,match2,match3
1957,2,PETERBOROUGH & DISTRICT PREMIER ,ELY CITY,FIRST ROUND PROPER,8,"('CAMBRIDGE CITY', 86)","('STOKE CITY (A)', 86)","('CHICHESTER CITY', 86)"
1957,3,CENTRAL ALLIANCE FIRST DIVISION SOUTH,ILKESTON TOWN,FIRST ROUND PROPER,8,"('LYE TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)"
1957,1,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8,"('BEDWORTH TOWN', 64)","('ELLESMERE PORT TOWN', 60)","('RICKMANSWORTH TOWN', 60)"
1958,3,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8,"('BEDWORTH TOWN', 64)","('SPORTS', 62)","('ELLESMERE PORT TOWN', 60)"
1959,12,SOUTHERN LEAGUE NORTH WEST,MERTHYR TOWN,FIRST ROUND PROPER,8,"('LYE TOWN', 86)","('ELLESMERE PORT TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)"
1959,2,HAMPSHIRE LEAGUE DIVISION ONE,NEWPORT (IOW),FIRST ROUND PROPER,8,"('BEDWORTH TOWN', 64)","('ELLESMERE PORT TOWN', 60)","('RICKMANSWORTH TOWN', 60)"
1961,13,SOUTHERN PREMIER,FC CLACTON,FIRST ROUND PROPER,8,"('CLACTON TOWN', 78)","('CLAPTON', 71)","('LEYTON', 60)"
1961,1,SUSSEX COUNTY LEAGUE DIVISION ONE,CHICHESTER CITY,FIRST ROUND PROPER,8,"('CHESTER', 90)","('ELY CITY', 86)","('BATH CITY', 86)"
1963,20,SOUTHERN PREMIER LEAGUE,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('TOOTING & MITCHAM UNITED', 86)","('BETLEY UNITED', 69)","('BOSTON UNITED', 69)"
1963,3,SOUTH WESTERN LEAGUE,FALMOUTH TOWN,FIRST ROUND PROPER,8,"('HEMEL HEMPSTEAD TOWN', 86)","('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)"
1963,11,NORTHERN REGIONAL,GATESHEAD,FIRST ROUND PROPER,8,"('LEATHERHEAD', 70)","('MAIDENHEAD UNITED', 60)","('GRAVESEND & NORTHFLEET', 60)"
1964,4,NORTH EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8,"('LYSAGHTS SPORTS', 62)","('CREWTON SPORTS', 50)","('SOUTHPORT', 50)"
1964,20,SOUTHERN DIVISION ONE,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('TOOTING & MITCHAM UNITED', 86)","('BEXLEY UNITED', 69)","('BOSTON UNITED', 69)"
1964,1,NORTHERN REGIONAL,GATESHEAD,FIRST ROUND PROPER,8,"('LEATHERHEAD', 70)","('MAIDENHEAD UNITED', 60)","('GRAVESEND & NORTHFLEET', 60)"
1965,10,WEARSIDE LEAGUE,ANNFIELD PLAIN,FIRST ROUND PROPER,8,"('ENFIELD', 77)","('HATFIELD MAIN', 74)","('HATFIELD TOWN', 59)"
1965,21,SOUTHERN DIVISION ONE,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('TOOTING & MITCHAM UNITED', 86)","('BEXLEY UNITED', 69)","('BEXLEY UNITED', 69)"
1965,5,NORTH REGIONAL,SOUTH SHIELDS,FIRST ROUND PROPER,8,"('NORTH SHIELDS', 85)","('SOUTHALL', 66)","('SOUTH LIVERPOOL', 64)"
1966,17,SOUTHERN DIVISION ONE,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('TOOTING & MITCHAM UNITED', 86)","('LEEDS UNITED', 71)","('NEWCASTLE UNITED', 69)"
1966,10,NORTHERN REGIONAL,GATESHEAD,FIRST ROUND PROPER,8,"('LEATHERHEAD', 70)","('MAIDENHEAD UNITED', 60)","('GRAVESEND AND NORTHFLEET', 60)"
1966,10,SOUTHERN LEAGUE FIRST DIVISION,MERTHYR TOWN,FIRST ROUND PROPER,8,"('HEMEL HEMPSTEAD TOWN', 86)","('ELLESMERE PORT TOWN', 86)","('SOHAM TOWN RANGERS', 86)"
1966,4,NORTH REGIONAL,SOUTH SHIELDS,FIRST ROUND PROPER,8,"('NORTH SHIELDS', 85)","('SOUTHALL', 66)","('SOUTH LIVERPOOL', 64)"
1967,2,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('HEMEL HEMPSTEAD TOWN', 86)","('STONY STRATFORD TOWN', 86)","('STAFFORD TOWN AMATEURS', 86)"
1967,1,NORTH REGIONAL,SOUTH SHIELDS,FIRST ROUND PROPER,8,"('NORTH SHIELDS', 85)","('SOUTHALL', 66)","('SOUTH LIVERPOOL', 64)"
1967,6,CHESHIRE COUNTY,WITTON ALBION,FIRST ROUND PROPER,8,"('WITTON/BANGOR ALBION', 86)","('BRIGHTON & HOVE ALBION', 86)","('BURTON ALBION', 77)"
1968,3,WEARSIDE LEAGUE,COLLIERY WELFARE,FIRST ROUND PROPER,8,"('FRICKLEY COLLIERY', 69)","('CRESWELL COLLIERY', 69)","('LINBY COLLIERY', 69)"
1968,1,SOUTH WESTERN LEAGUE,FALMOUTH TOWN,FIRST ROUND PROPER,8,"('HEMEL HEMPSTEAD TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1968,15,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('HEMEL HEMPSTEAD TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1969,5,HAMPSHIRE LEAGUE DIVISION ONE,WATERLOOVILLE,FIRST ROUND PROPER,8,"('WARE', 68)","('WARLEY', 60)","('WELTON ROVERS', 54)"
1970,2,SOUTH WESTERN LEAGUE,FALMOUTH TOWN,FIRST ROUND PROPER,8,"('HEMEL HEMPSTEAD TOWN', 86)","('CHIPPING NORTON TOWN', 86)","('STONY STRATFORD TOWN', 86)"
1971,14,NORTHEN PREMIER LEAGUE,BRADFORD PARK AVENUE,FIRST ROUND PROPER,8,"('BRADFORD (P.A.)', 86)","('BIDEFORD', 68)","('ROMFORD', 64)"
1971,1,SUSSEX COUNTY DIVISION 1,RINGMER,FIRST ROUND PROPER,8,"('SOHAM TOWN RANGERS', 64)","('TRANMERE ROVERS', 64)","('STAFFORD RANGERS', 64)"
1972,1,MIDLAND COMBINATION DIVISION ONE,ALVECHURCH,FIRST ROUND PROPER,8,"('HORNCHURCH', 60)","('LETCHWORTH TOWN', 54)","('ALTRINCHAM', 50)"
1972,9,MIDLANDS LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8,"('BEDDESLEY COLLIERY', 69)","('FINCHLEY', 68)","('FRICKLEY ATHLETIC', 65)"
1972,14,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)","('TAUNTON TOWN', 80)"
1972,1,HELLENIC LEAGUE,WITNEY UNITED,FIRST ROUND PROPER,8,"('HAYES & YEADING UNITED', 86)","('TOOTING & MITCHAM UNITED', 86)","('WELWYN GARDEN UNITED', 86)"
1973,9,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1973,3,HAMPSHIRE LEAGUE DIVISION ONE,ALTON TOWN,FIRST ROUND PROPER,8,"('LUTON TOWN', 90)","('ALFRETON TOWN', 87)","('LETCHWORTH TOWN', 86)"
1974,5,MIDLAND LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8,"('FINCHLEY', 68)","('FRICKLEY ATHLETIC', 65)","('LEYTON', 60)"
1974,16,SOUTHERN LEAGUE FIRST DIVISION NORTH,MERTHYR TOWN,FIRST ROUND PROPER,8,"('EASTBOURNE TOWN TOWN', 86)","('SOHAM TOWN RANGERS', 86)","('CHIPPING NORTON TOWN', 86)"
1975,9,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1975,1,SUSSEX COUNTY DIVISION 1,SOUTHWICK,FIRST ROUND PROPER,8,"('SOUTH BANK', 63)","('SOUTH LIVERPOOL', 60)","('NORTHWICH VICTORIA', 60)"
1976,5,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('LYE TOWN', 86)","('TAUNTON TOWN', 80)"
1977,5,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)","('MEXBOROUGH TOWN ATHLETIC', 86)"
1978,10,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('SUTTON [COLDFIELD] TOWN', 86)","('MEXBOROUGH TOWN ATHLETIC', 86)"
1979,5,SOUTHERN PREMIER,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('TOOTING & MITCHAM UNITED', 86)","('RYE UNITED', 86)","('BOSTON UNITED', 69)"
1979,1,SOUTHERN LEAGUE FIRST DIVISION NORTH,MERTHYR TOWN,FIRST ROUND PROPER,8,"('GREAT YARMOUTH TOWN', 86)","('SOHAM TOWN RANGERS', 86)","('SAFFRON WALDEN TOWN', 86)"
1979,11,SOUTHERN PREMIER,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)","('MEXBOROUGH TOWN ATHLETIC', 86)"
1980,5,ALLIANCE PREMIER LEAGUE,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('ASH UNITED', 86)","('GODALMING AND FARNCOMBE UNITED', 86)","('TOOTING & MITCHAM UNITED', 86)"
1980,5,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,MERTHYR TOWN,FIRST ROUND PROPER,8,"('CASTLE DONINGTON TOWN', 86)","('SOHAM TOWN RANGERS', 86)","('SAFFRON WALDEN TOWN', 86)"
1980,10,ALLIANCE PREMIER LEAGUE,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CASTLE DONINGTON TOWN', 86)","('CHIPPING NORTON TOWN', 86)","('CHESTER-LE-STREET TOWN', 86)"
1980,12,MIDLAND FOOTBALL COMBINATION DIVISION ONE,SOLIHULL MOORS,FIRST ROUND PROPER,8,"('SOLIHULL BOROUGH', 73)","('BULL MOTORS', 72)","('MORRIS', 66)"
1981,15,ALLIANCE PREMIER LEAGUE,EBBSFLEET UNITED,FIRST ROUND PROPER,8,"('FLEET', 90)","('ASH UNITED', 86)","('TOOTING & MITCHAM UNITED', 86)"
1982,1,SOUTHERN MIDLAND DIVISION,NUNEATON TOWN,FIRST ROUND PROPER,8,"('B A TOWN', 86)","('CHIPPING NORTON TOWN', 86)","('ADDLESTONE & WEYBRIDGE TOWN', 86)"
1984,9,NORTHERN PREMIER LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8,"('GAINSBOROUGH UNITED', 82)","('GAINSBOROUGH TOWN', 81)","('GAINSBOROUGH TOWN', 81)"
1985,1,WELSH NATIONAL DIVISION,BARRY TOWN,FIRST ROUND PROPER,8,"('SHERBOURNE TOWN', 86)","('GILLINGHAM TOWN', 86)","('GILLINGHAM TOWN', 86)"
1985,2,ALLIANCE PREMIER LEAGUE,NUNEATON TOWN,FIRST ROUND PROPER,8,"('FAREHAM TOWN (RESERVES)', 86)","('HARBOROUGH TOWN IMPERIAL', 86)","('I M TOWN', 86)"
1985,10,ALLIANCE PREMIER LEAGUE,TELFORD UNITED,FIRST ROUND PROPER,8,"('TELFORD UTD', 88)","('FORD UNITED', 88)","('FORD UNITED', 88)"
1986,18,ALLIANCE PREMIER LEAGUE,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHESTER-LE-STREET TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)","('BISHOPS WALTHAM TOWN', 86)"
1987,18,FOOTBALL CONFERENCE,NUNEATON TOWN,FIRST ROUND PROPER,8,"('CHIPPING NORTON TOWN', 86)","('CHESTER-LE-STREET TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)"
1987,2,WELSH NATIONAL DIVISION,TON PENTRE,FIRST ROUND PROPER,8,"('NORTHAMPTON SPENCER', 72)","('THRAPSTON VENTURERS', 72)","('HENLEY TOWN', 64)"
1988,1,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,MERTHYR TOWN,FIRST ROUND PROPER,8,"('WYM TOWN', 86)","('GREAT YARMOUTH TOWN', 86)","('SOHAM TOWN RANGERS', 86)"
1989,1,SOUTHERN FOOTBALL LEAGUE PREMIER DIVISION,MERTHYR TOWN,FIRST ROUND PROPER,8,"('TOWN HALL GREAT YARMOUTH', 86)","('SAWBRIDGEWORTH TOWN', 86)","('WOOTTON BASSETT TOWN', 86)"
