year,pos,league,team,round,stage
1958,12,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1958,17,SOUTHERN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1958,10,MIDLAND COUNTIES LEAGUE,FRICKLEY COLLIERY,FIRST ROUND PROPER,8
1958,11,YORKSHIRE LEAGUE - FIRST DIVISION,FRICKLEY COLLIERY,FIRST ROUND PROPER,8
1958,13,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1958,17,WESTERN LEAGUE - DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1959,5,CENTRAL ALLIANCE - DIVISION 1 SOUTH,KETTERING TOWN,FIRST ROUND PROPER,8
1959,2,SOUTHERN LEAGUE - NORTH WEST SECTION,KETTERING TOWN,FIRST ROUND PROPER,8
1959,5,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1959,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1959,13,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1959,6,SOUTHERN LEAGUE - SOUTH EAST SECTION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1959,8,HELLENIC LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1959,9,METROPOLITAN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1959,10,SOUTHERN LEAGUE - NORTH WEST SECTION,HEADINGTON UNITED,FIRST ROUND PROPER,8
1959,10,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1959,15,SOUTHERN LEAGUE - SOUTH EAST SECTION,GUILDFORD CITY,FIRST ROUND PROPER,8
1959,4,SOUTHERN LEAGUE - SOUTH EAST SECTION,YEOVIL TOWN,FIRST ROUND PROPER,8
1959,1,WESTERN LEAGUE - DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1959,5,SOUTHERN LEAGUE - SOUTH EAST SECTION,WEYMOUTH,FIRST ROUND PROPER,8
1959,9,WESTERN LEAGUE - DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1960,6,CENTRAL ALLIANCE - DIVISION 1 SOUTH,KETTERING TOWN,FIRST ROUND PROPER,8
1960,22,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8
1960,2,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1960,6,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1960,6,EASTERN COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1960,1,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8
1960,12,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1960,8,SOUTHERN LEAGUE - PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1960,7,HELLENIC LEAGUE - PREMIER DIVISION,HEADINGTON UNITED,FIRST ROUND PROPER,8
1960,8,METROPOLITAN LEAGUE,HEADINGTON UNITED,FIRST ROUND PROPER,8
1960,2,SOUTHERN LEAGUE - PREMIER DIVISION,HEADINGTON UNITED,FIRST ROUND PROPER,8
1960,6,METROPOLITAN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1960,7,SOUTHERN LEAGUE - PREMIER DIVISION,BEDFORD TOWN,FIRST ROUND PROPER,8
1960,17,METROPOLITAN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1960,14,SOUTHERN LEAGUE - PREMIER DIVISION,HASTINGS UNITED,FIRST ROUND PROPER,8
1960,13,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1960,7,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1960,1,SOUTHERN LEAGUE - PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8
1960,8,WESTERN LEAGUE - DIVISION 1,BATH CITY,FIRST ROUND PROPER,8
1961,13,BIRMINGHAM AND DISTRICT LEAGUE,SUTTON TOWN,FIRST ROUND PROPER,8
1961,2,CENTRAL ALLIANCE - DIVISION 1 NORTH,SUTTON TOWN,FIRST ROUND PROPER,8
1961,5,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1961,2,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1961,14,EASTERN COUNTIES LEAGUE,ROMFORD,FIRST ROUND PROPER,8
1961,14,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8
1961,15,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1961,11,SOUTHERN LEAGUE - PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1961,4,HELLENIC LEAGUE - PREMIER DIVISION,OXFORD UNITED,FIRST ROUND PROPER,8
1961,5,METROPOLITAN LEAGUE,OXFORD UNITED,FIRST ROUND PROPER,8
1961,1,SOUTHERN LEAGUE - PREMIER DIVISION,OXFORD UNITED,FIRST ROUND PROPER,8
1961,11,METROPOLITAN LEAGUE,HASTINGS UNITED,FIRST ROUND PROPER,8
1961,20,SOUTHERN LEAGUE - PREMIER DIVISION,HASTINGS UNITED,FIRST ROUND PROPER,8
1961,3,NORTHERN COUNTIES LEAGUE CUP,BLYTH SPARTANS,FIRST ROUND PROPER,8
1961,3,NORTHERN COUNTIES LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8
1961,5,NORTHERN COUNTIES LEAGUE CUP,GATESHEAD,FIRST ROUND PROPER,8
1961,4,NORTHERN COUNTIES LEAGUE,GATESHEAD,FIRST ROUND PROPER,8
1961,6,NORTHERN COUNTIES LEAGUE CUP,SCARBOROUGH,FIRST ROUND PROPER,8
1961,5,NORTHERN COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1961,8,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1961,3,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1961,11,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1961,5,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8
1961,7,WESTERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1961,6,SOUTHERN LEAGUE - PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8
1961,14,WESTERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8
1962,3,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1962,20,SOUTHERN LEAGUE - PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1962,11,EASTERN COUNTIES LEAGUE,ROMFORD,FIRST ROUND PROPER,8
1962,11,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8
1962,12,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1962,5,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1962,7,HELLENIC LEAGUE - PREMIER DIVISION,OXFORD UNITED,FIRST ROUND PROPER,8
1962,7,METROPOLITAN LEAGUE,OXFORD UNITED,FIRST ROUND PROPER,8
1962,1,SOUTHERN LEAGUE - PREMIER DIVISION,OXFORD UNITED,FIRST ROUND PROPER,8
1962,1,METROPOLITAN LEAGUE,DARTFORD,FIRST ROUND PROPER,8
1962,3,SOUTHERN LEAGUE - FIRST DIVISION,DARTFORD,FIRST ROUND PROPER,8
1962,1,NORTHERN COUNTIES LEAGUE CUP,SOUTH SHIELDS,FIRST ROUND PROPER,8
1962,2,NORTHERN COUNTIES LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8
1962,6,NORTHERN COUNTIES LEAGUE CUP,ASHINGTON,FIRST ROUND PROPER,8
1962,3,NORTHERN COUNTIES LEAGUE,ASHINGTON,FIRST ROUND PROPER,8
1962,8,NORTHERN COUNTIES LEAGUE CUP,GATESHEAD,FIRST ROUND PROPER,8
1962,5,NORTHERN COUNTIES LEAGUE,GATESHEAD,FIRST ROUND PROPER,8
1962,13,NORTHERN COUNTIES LEAGUE CUP,BLYTH SPARTANS,FIRST ROUND PROPER,8
1962,9,NORTHERN COUNTIES LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8
1962,4,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1962,15,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1962,6,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8
1962,12,WESTERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1963,2,CHESHIRE COUNTY LEAGUE,BUXTON,FIRST ROUND PROPER,8
1963,10,MANCHESTER LEAGUE - DIVISION 1,BUXTON,FIRST ROUND PROPER,8
1963,7,CHESHIRE COUNTY LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1963,9,MANCHESTER LEAGUE - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1963,18,CHESHIRE COUNTY LEAGUE,WELLINGTON,FIRST ROUND PROPER,8
1963,6,SOUTHERN LEAGUE - PREMIER DIVISION,WELLINGTON,FIRST ROUND PROPER,8
1963,2,EASTERN COUNTIES LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1963,8,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1963,5,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1963,8,SOUTHERN LEAGUE - FIRST DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1963,2,LINCOLNSHIRE LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8
1963,6,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8
1963,4,METROPOLITAN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8
1963,9,SOUTHERN LEAGUE - PREMIER DIVISION,BEDFORD TOWN,FIRST ROUND PROPER,8
1963,8,METROPOLITAN LEAGUE,DARTFORD,FIRST ROUND PROPER,8
1963,7,SOUTHERN LEAGUE - PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8
1963,1,NORTH EASTERN LEAGUE CUP,SCARBOROUGH,FIRST ROUND PROPER,8
1963,9,YORKSHIRE LEAGUE - FIRST DIVISION,SCARBOROUGH,FIRST ROUND PROPER,8
1963,11,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1963,9,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1963,19,SOUTHERN LEAGUE - PREMIER DIVISION,POOLE TOWN,FIRST ROUND PROPER,8
1963,13,WESTERN LEAGUE,POOLE TOWN,FIRST ROUND PROPER,8
1964,14,CENTRAL ALLIANCE,HEANOR TOWN,FIRST ROUND PROPER,8
1964,7,MIDLAND COUNTIES LEAGUE,HEANOR TOWN,FIRST ROUND PROPER,8
1964,3,CHESHIRE COUNTY LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8
1964,6,MANCHESTER LEAGUE - DIVISION 1,ALTRINCHAM,FIRST ROUND PROPER,8
1964,8,LEICESTERSHIRE SENIOR LEAGUE - DIVISION 1,LOUGHBOROUGH UNITED,FIRST ROUND PROPER,8
1964,17,MIDLAND COUNTIES LEAGUE,LOUGHBOROUGH UNITED,FIRST ROUND PROPER,8
1964,2,METROPOLITAN LEAGUE - DIVISION 1,CHELMSFORD CITY,FIRST ROUND PROPER,8
1964,2,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
