year,pos,league,team,round,stage
1969,19,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1970,14,HELLENIC LEAGUE - PREMIER DIVISION,OXFORD CITY,FIRST ROUND PROPER,8
1970,11,ISTHMIAN LEAGUE - SENIOR SECTION,OXFORD CITY,FIRST ROUND PROPER,8
1970,13,LANCASHIRE COMBINATION,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1970,2,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1970,14,METROPOLITAN LEAGUE,BRENTWOOD TOWN,FIRST ROUND PROPER,8
1970,9,SOUTHERN LEAGUE - PREMIER DIVISION,BRENTWOOD TOWN,FIRST ROUND PROPER,8
1970,2,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1970,17,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1970,4,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8
1970,18,WESTERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1970,15,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8
1970,15,UNITED COUNTIES LEAGUE - DIVISION 1,KETTERING TOWN,FIRST ROUND PROPER,8
1971,4,LANCASHIRE COMBINATION,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1971,1,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1971,11,MANCHESTER LEAGUE - PREMIER DIVISION,MACCLESFIELD TOWN,FIRST ROUND PROPER,8
1971,5,NORTHERN PREMIER LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8
1971,6,METROPOLITAN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1971,5,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1972,12,LANCASHIRE LEAGUE - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1972,3,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1972,1,SOUTHERN LEAGUE - FIRST DIVISION NORTH,KETTERING TOWN,FIRST ROUND PROPER,8
1972,14,UNITED COUNTIES LEAGUE - DIVISION 1,KETTERING TOWN,FIRST ROUND PROPER,8
1973,5,LANCASHIRE LEAGUE - DIVISION 1,SOUTH LIVERPOOL,FIRST ROUND PROPER,8
1973,17,NORTHERN PREMIER LEAGUE,SOUTH LIVERPOOL,FIRST ROUND PROPER,8
1973,10,LANCASHIRE LEAGUE - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1973,3,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1974,1,LANCASHIRE LEAGUE - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1974,2,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1975,6,LANCASHIRE LEAGUE - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1975,1,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1975,13,LANCASHIRE LEAGUE - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8
1975,13,NORTHERN PREMIER LEAGUE,MORECAMBE,FIRST ROUND PROPER,8
1976,9,LANCASHIRE LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8
1976,15,NORTHERN PREMIER LEAGUE,MACCLESFIELD TOWN,FIRST ROUND PROPER,8
1976,11,LANCASHIRE LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8
1976,7,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8
1976,14,LANCASHIRE COMBINATION,MORECAMBE,FIRST ROUND PROPER,8
1976,20,NORTHERN PREMIER LEAGUE,MORECAMBE,FIRST ROUND PROPER,8
1976,16,LANCASHIRE COMBINATION,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1976,6,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1977,13,LANCASHIRE COMBINATION,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1977,14,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8
1977,17,LANCASHIRE COMBINATION,MORECAMBE,FIRST ROUND PROPER,8
1977,15,NORTHERN PREMIER LEAGUE,MORECAMBE,FIRST ROUND PROPER,8
1980,11,ALLIANCE PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8
1980,4,YORKSHIRE LEAGUE - DIVISION 1,SCARBOROUGH,FIRST ROUND PROPER,8
1980,12,ALLIANCE PREMIER LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1980,15,WESTERN LEAGUE - FIRST DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1981,3,CONFERENCE (ALLIANCE PREMIER LEAGUE),SCARBOROUGH,FIRST ROUND PROPER,8
1981,7,YORKSHIRE FOOTBALL LEAGUE DIVISION ONE,SCARBOROUGH,FIRST ROUND PROPER,8
1981,8,CONFERENCE (ALLIANCE PREMIER LEAGUE),BOSTON UNITED,FIRST ROUND PROPER,8
1981,15,LINCOLNSHIRE FOOTBALL LEAGUE PREMIER DIVISION,BOSTON UNITED,FIRST ROUND PROPER,8
1981,14,CONFERENCE (ALLIANCE PREMIER LEAGUE),YEOVIL TOWN,FIRST ROUND PROPER,8
1981,6,WESTERN LEAGUE DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1981,2,ISTHMIAN LEAGUE PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8
1981,6,THE OLD BOYS' FOOTBALL LEAGUE PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8
1982,1,CONFERENCE (ALLIANCE PREMIER LEAGUE),RUNCORN,FIRST ROUND PROPER,8
1982,10,WEST CHESHIRE FOOTBALL LEAGUE DIVISION ONE,RUNCORN,FIRST ROUND PROPER,8
1982,2,CONFERENCE (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8
1982,2,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,ENFIELD,FIRST ROUND PROPER,8
1982,2,THE OLD BOYS' FOOTBALL LEAGUE PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8
1982,5,CONFERENCE (ALLIANCE PREMIER LEAGUE),DAGENHAM,FIRST ROUND PROPER,8
1982,8,ESSEX AND HERTS BORDER COMBINATION EASTERN DIVISION,DAGENHAM,FIRST ROUND PROPER,8
1982,10,CONFERENCE (ALLIANCE PREMIER LEAGUE),BOSTON UNITED,FIRST ROUND PROPER,8
1982,2,LINCOLNSHIRE FOOTBALL LEAGUE PREMIER DIVISION,BOSTON UNITED,FIRST ROUND PROPER,8
1982,18,CONFERENCE (ALLIANCE PREMIER LEAGUE),BARNET,FIRST ROUND PROPER,8
1982,3,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,BARNET,FIRST ROUND PROPER,8
1982,6,ESSEX AND HERTS BORDER COMBINATION EASTERN DIVISION,BARKING,FIRST ROUND PROPER,8
1982,12,ISTHMIAN LEAGUE PREMIER DIVISION,BARKING,FIRST ROUND PROPER,8
1982,1,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8
1982,15,ISTHMIAN LEAGUE PREMIER DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8
1982,4,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,LEYTONSTONE/ILFORD,FIRST ROUND PROPER,8
1982,1,ISTHMIAN LEAGUE PREMIER DIVISION,LEYTONSTONE/ILFORD,FIRST ROUND PROPER,8
1982,5,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,HENDON,FIRST ROUND PROPER,8
1982,13,ISTHMIAN LEAGUE PREMIER DIVISION,HENDON,FIRST ROUND PROPER,8
1982,6,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,HARLOW TOWN,FIRST ROUND PROPER,8
1982,21,ISTHMIAN LEAGUE PREMIER DIVISION,HARLOW TOWN,FIRST ROUND PROPER,8
1982,2,ISTHMIAN LEAGUE PREMIER DIVISION,SUTTON UNITED,FIRST ROUND PROPER,8
1982,1,SUBURBAN FOOTBALL LEAGUE SOUTH,SUTTON UNITED,FIRST ROUND PROPER,8
1982,3,ISTHMIAN LEAGUE PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8
1982,3,SUBURBAN FOOTBALL LEAGUE NORTH,WYCOMBE WANDERERS,FIRST ROUND PROPER,8
1982,2,KENT LEAGUE DIVISION TWO,DOVER,FIRST ROUND PROPER,8
1982,13,SOUTHERN LEAGUE DIVISION 1 SOUTH,DOVER,FIRST ROUND PROPER,8
1982,8,KENT LEAGUE DIVISION TWO,HASTINGS UNITED,FIRST ROUND PROPER,8
1982,2,SOUTHERN LEAGUE DIVISION 1 SOUTH,HASTINGS UNITED,FIRST ROUND PROPER,8
1982,17,SOUTHERN LEAGUE DIVISION 1 MIDLAND,TAUNTON TOWN,FIRST ROUND PROPER,8
1982,13,SOMERSET SENIOR FOOTBALL LEAGUE DIVISION ONE,TAUNTON TOWN,FIRST ROUND PROPER,8
1982,7,WEST MIDLANDS LEAGUE DIVISION 1,WILLENHALL TOWN,FIRST ROUND PROPER,8
1982,7,WEST MIDLAND LEAGUE PREMIER DIVISION,WILLENHALL TOWN,FIRST ROUND PROPER,8
1983,1,CONFERENCE (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8
1983,4,THE OLD BOYS FOOTBALL LEAGUE PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8
1983,2,CONFERENCE (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8
1983,1,KENT LEAGUE DIVISION TWO,MAIDSTONE UNITED,FIRST ROUND PROPER,8
1983,5,CONFERENCE (ALLIANCE PREMIER LEAGUE),BOSTON UNITED,FIRST ROUND PROPER,8
1983,2,LINCOLNSHIRE LEAGUE PREMIER DIVISION,BOSTON UNITED,FIRST ROUND PROPER,8
1983,7,CONFERENCE (ALLIANCE PREMIER LEAGUE),WEYMOUTH,FIRST ROUND PROPER,8
1983,10,WESTERN LEAGUE DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1983,9,CONFERENCE (ALLIANCE PREMIER LEAGUE),SCARBOROUGH,FIRST ROUND PROPER,8
1983,1,NORTH COUNTIES EAST LEAGUE DIVISION 1 NORTH,SCARBOROUGH,FIRST ROUND PROPER,8
1983,20,CONFERENCE (ALLIANCE PREMIER LEAGUE),YEOVIL TOWN,FIRST ROUND PROPER,8
1983,12,WESTERN LEAGUE DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1983,14,KENT LEAGUE DIVISION TWO,DARTFORD,FIRST ROUND PROPER,8
1983,6,SOUTHERN LEAGUE PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8
1983,16,KENT LEAGUE DIVISION TWO,FOLKESTONE,FIRST ROUND PROPER,8
1983,2,SOUTHERN LEAGUE SOUTHERN DIVISION,FOLKESTONE,FIRST ROUND PROPER,8
1984,17,CONFERENCE (ALLIANCE PREMIER LEAGUE),BOSTON UNITED,FIRST ROUND PROPER,8
1984,13,HAMBRO LIFE LINCOLNSHIRE LEAGUE PREMIER DIVISION,BOSTON UNITED,FIRST ROUND PROPER,8
1984,20,CONFERENCE (ALLIANCE PREMIER LEAGUE),YEOVIL TOWN,FIRST ROUND PROPER,8
1984,17,WESTERN LEAGUE DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1984,16,HAMPSHIRE LEAGUE DIVISION 1,WATERLOOVILLE,FIRST ROUND PROPER,8
1984,12,SOUTHERN LEAGUE SOUTHERN DIVISION,WATERLOOVILLE,FIRST ROUND PROPER,8
1985,3,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),DARTFORD,FIRST ROUND PROPER,8
1985,10,ESSEX AND HERTS BORDER COMBINATION EASTERN DIVISION,DARTFORD,FIRST ROUND PROPER,8
1985,7,GOLA LEAGUE (ALLIANCE PREMIER LEAGUE),ENFIELD,FIRST ROUND PROPER,8
1985,1,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,ENFIELD,FIRST ROUND PROPER,8
1985,12,ESSEX AND HERTS BORDER COMBINATION WESTERN DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8
1985,16,SERVOWARM ISTHMIAN LEAGUE PREMIER DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8
1985,1,ISTHMIAN LEAGUE DIVISION 1,FARNBOROUGH,FIRST ROUND PROPER,8
1985,9,SUBURBAN LEAGUE NORTH,FARNBOROUGH,FIRST ROUND PROPER,8
1985,10,ISTHMIAN LEAGUE DIVISION 1,STAINES TOWN,FIRST ROUND PROPER,8
1985,10,SUBURBAN LEAGUE NORTH,STAINES TOWN,FIRST ROUND PROPER,8
1985,4,KENT LEAGUE DIVISION TWO,FISHER,FIRST ROUND PROPER,8
1985,8,SOUTHERN LEAGUE PREMIER DIVISION,FISHER,FIRST ROUND PROPER,8
1986,5,CONFERENCE (GOLA LEAGUE) (ALLIANCE PREMIER LEAGUE),WEYMOUTH,FIRST ROUND PROPER,8
1986,9,WESTERN LEAGUE DIVISION 1,WEYMOUTH,FIRST ROUND PROPER,8
1986,2,ISTHMIAN LEAGUE PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1986,3,WESTERN LEAGUE DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1987,10,CONFERENCE (ALLIANCE PREMIER LEAGUE),BATH CITY,FIRST ROUND PROPER,8
1987,3,WESTERN LEAGUE DIVISION 1,BATH CITY,FIRST ROUND PROPER,8
1988,20,CONFERENCE (ALLIANCE PREMIER LEAGUE),BATH CITY,FIRST ROUND PROPER,8
1988,4,WESTERN LEAGUE DIVISION 1,BATH CITY,FIRST ROUND PROPER,8
1988,10,ISTHMIAN LEAGUE DIVISON 2 SOUTH,HAYES & YEADING UNITED,FIRST ROUND PROPER,8
1988,6,ISTHMIAN LEAGUE PREMIER DIVISION,HAYES & YEADING UNITED,FIRST ROUND PROPER,8
1988,1,ISTHMIAN LEAGUE PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1988,17,WESTERN LEAGUE DIVISION 1,YEOVIL TOWN,FIRST ROUND PROPER,8
1989,14,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8
1989,6,MID CHESHIRE LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8
1989,15,ISTHMIAN LEAGUE DIVISON 2 SOUTH,HAYES & YEADING UNITED,FIRST ROUND PROPER,8
1989,8,ISTHMIAN LEAGUE PREMIER DIVISION,HAYES & YEADING UNITED,FIRST ROUND PROPER,8
1989,9,SOUTHERN LEAGUE PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8
1989,15,WESTERN LEAGUE DIVISION 1,BATH CITY,FIRST ROUND PROPER,8
