year,league,tier
1961,NORTHERN LEAGUE,6
1961,SOUTHERN LEAGUE FIRST DIVISION,6
1961,SOUTHERN PREMIER,5
1961,SUSSEX COUNTY LEAGUE DIVISION ONE,7
1961,WESTERN LEAGUE,7
1961,YORKSHIRE LEAGUE FIRST DIVISION,7
1962,ATHENIAN LEAGUE,7
1962,BIRMINGHAM AND DISTRICT LEAGUE,7
1962,CHESHIRE COUNTY LEAGUE,7
1962,EASTERN COUNTIES LEAGUE,7
1962,ISTHMIAN LEAGUE SENIOR SECTION,5
1962,LANCASHIRE COMBINATION DIVISION 1,7
1962,MIDLAND COUNTIES LEAGUE,7
1962,NORTHERN COUNTIES LEAGUE,7
1962,NORTHERN LEAGUE,6
1962,SOUTHERN LEAGUE FIRST DIVISION,6
1962,WESTERN LEAGUE,7
1963,ATHENIAN LEAGUE,7
1963,CHESHIRE COUNTY LEAGUE,7
1963,CORINTHIAN LEAGUE,7
1963,ISTHMIAN LEAGUE SENIOR SECTION,5
1963,LANCASHIRE COMBINATION DIVISION 1,7
1963,MIDLAND COUNTIES LEAGUE,7
1963,NORTH EASTERN LEAGUE,7
1963,NORTH EASTERN LEAGUE CUP,7
1963,NORTHERN LEAGUE,6
1963,NORTHERN REGIONAL,7
1963,SOUTH WESTERN LEAGUE,7
1963,SOUTHERN LEAGUE FIRST DIVISION,6
1963,SOUTHERN PREMIER LEAGUE,5
1963,WESTERN LEAGUE,7
1964,ATHENIAN LEAGUE PREMIER DIVISION,7
1964,CHESHIRE COUNTY LEAGUE,7
1964,EASTERN COUNTIES LEAGUE,7
1964,ISTHMIAN LEAGUE SENIOR SECTION,5
1964,LANCASHIRE COMBINATION DIVISION 1,7
1964,MIDLAND COUNTIES LEAGUE,7
1964,NORTH EASTERN LEAGUE,7
1964,NORTHERN LEAGUE,6
1964,NORTHERN REGIONAL,7
1964,SOUTHERN DIVISION ONE,6
1964,SOUTHERN LEAGUE FIRST DIVISION,6
1964,WESTERN LEAGUE,7
1965,ATHENIAN LEAGUE PREMIER DIVISION,7
1965,CHESHIRE COUNTY LEAGUE,7
1965,ISTHMIAN LEAGUE SENIOR SECTION,5
1965,LANCASHIRE COMBINATION DIVISION 1,7
1965,MIDLAND COUNTIES LEAGUE,7
1965,NORTH REGIONAL,7
1965,NORTHERN LEAGUE,6
1965,SOUTHERN DIVISION ONE,6
1965,SOUTHERN LEAGUE FIRST DIVISION,6
1965,WEARSIDE LEAGUE,7
1965,WEST MIDLANDS (REGIONAL) LEAGUE,7
1965,WESTERN LEAGUE,7
1966,CHESHIRE COUNTY LEAGUE,7
1966,ISTHMIAN LEAGUE SENIOR SECTION,5
1966,LANCASHIRE COMBINATION DIVISION 1,7
1966,MIDLAND COUNTIES LEAGUE,7
1966,NORTH REGIONAL,7
1966,NORTHERN LEAGUE,6
1966,NORTHERN REGIONAL,7
1966,SOUTHERN DIVISION ONE,6
1966,SOUTHERN LEAGUE FIRST DIVISION,6
1966,UNITED COUNTIES LEAGUE DIVISION 1,7
1966,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1967,ATHENIAN LEAGUE FIRST DIVISION,7
1967,ATHENIAN LEAGUE SECOND DIVISION,7
1967,CHESHIRE COUNTY,7
1967,CHESHIRE COUNTY LEAGUE,7
1967,EASTERN COUNTIES LEAGUE,7
1967,ISTHMIAN LEAGUE SENIOR SECTION,5
1967,LANCASHIRE COMBINATION DIVISION 1,7
1967,MIDLAND COUNTIES LEAGUE,7
1967,NORTH REGIONAL,7
1967,NORTHERN LEAGUE,6
1967,SOUTHERN LEAGUE FIRST DIVISION,7
1967,SOUTHERN PREMIER,5
1967,UNITED COUNTIES LEAGUE DIVISION 1,7
1967,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1967,WESTERN LEAGUE,7
1968,ATHENIAN LEAGUE PREMIER DIVISION,7
1968,CHESHIRE COUNTY LEAGUE,7
1968,EASTERN COUNTIES LEAGUE,7
1968,ISTHMIAN LEAGUE SENIOR SECTION,5
1968,LANCASHIRE COMBINATION DIVISION 1,7
1968,MIDLAND COUNTIES LEAGUE,7
1968,NORTHERN LEAGUE,6
1968,SOUTH WESTERN LEAGUE,7
1968,SOUTHERN LEAGUE FIRST DIVISION,6
1968,SOUTHERN PREMIER,5
1968,WEARSIDE LEAGUE,7
1968,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1968,WESTERN LEAGUE,7
1969,ATHENIAN LEAGUE FIRST DIVISION,7
1969,CHESHIRE COUNTY LEAGUE,7
1969,HAMPSHIRE LEAGUE DIVISION ONE,7
1969,ISTHMIAN LEAGUE SENIOR SECTION,5
1969,METROPOLITAN LEAGUE,7
1969,MIDLAND COUNTIES LEAGUE,7
1969,NORTHERN LEAGUE,6
1969,SOUTHERN LEAGUE FIRST DIVISION,6
1969,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1970,ATHENIAN LEAGUE FIRST DIVISION,7
1970,ATHENIAN LEAGUE PREMIER DIVISION,7
1970,CHESHIRE COUNTY LEAGUE,7
1970,ISTHMIAN LEAGUE SENIOR SECTION,5
1970,LANCASHIRE COMBINATION,7
1970,MIDLAND COUNTIES LEAGUE,7
1970,NORTHERN LEAGUE,6
1970,SOUTH WESTERN LEAGUE,7
1970,SOUTHERN LEAGUE FIRST DIVISION,6
1970,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1971,ATHENIAN LEAGUE FIRST DIVISION,7
1971,ATHENIAN LEAGUE PREMIER DIVISION,7
1971,CHESHIRE COUNTY LEAGUE,7
1971,ISTHMIAN LEAGUE SENIOR SECTION,5
1971,MIDLAND COUNTIES LEAGUE,7
1971,NORTHEN PREMIER LEAGUE,7
1971,SOUTHERN LEAGUE FIRST DIVISION,6
1971,SUSSEX COUNTY DIVISION 1,7
1971,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1971,WESTERN LEAGUE,7
1972,ATHENIAN LEAGUE PREMIER DIVISION,7
1972,CHESHIRE COUNTY LEAGUE,7
1972,HELLENIC LEAGUE,7
1972,ISTHMIAN LEAGUE SENIOR SECTION,5
1972,MIDLAND COMBINATION DIVISION ONE,7
1972,MIDLANDS LEAGUE,7
1972,NORTHERN LEAGUE,6
1972,SOUTHERN LEAGUE FIRST DIVISION NORTH,6
1972,SOUTHERN LEAGUE FIRST DIVISION SOUTH,6
1972,SOUTHERN PREMIER,5
1972,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1972,WESTERN LEAGUE,7
1973,CHESHIRE COUNTY LEAGUE,7
1973,HAMPSHIRE LEAGUE DIVISION ONE,7
1973,ISTHMIAN LEAGUE SENIOR SECTION,5
1973,NORTHERN LEAGUE,6
1973,SOUTHERN LEAGUE FIRST DIVISION NORTH,6
1973,SOUTHERN LEAGUE FIRST DIVISION SOUTH,6
1973,SOUTHERN PREMIER,5
1973,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1973,WESTERN LEAGUE,7
