year,pos,league,team,round,stage
1954,3.0,EASTERN COUNTIES LEAGUE,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
1954,15.0,EASTERN COUNTIES LEAGUE,HARWICH & PARKESTON,FIRST ROUND PROPER,8.0
1954,2.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1954,1.0,LANCASHIRE COMBINATION - FIRST DIVISION,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1954,3.0,LANCASHIRE COMBINATION - FIRST DIVISION,NELSON,FIRST ROUND PROPER,8.0
1954,2.0,MIDLAND COUNTIES LEAGUE,PETERBOROUGH UNITED,FIRST ROUND PROPER,8.0
1954,14.0,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1954,16.0,MIDLAND COUNTIES LEAGUE,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0
1954,3.0,NORTH-EASTERN LEAGUE,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1954,4.0,NORTH-EASTERN LEAGUE,HORDEN CW,FIRST ROUND PROPER,8.0
1954,14.0,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1954,3.0,NORTHERN LEAGUE,FERRYHILL ATHLETIC,FIRST ROUND PROPER,8.0
1954,3.0,SOUTHERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1954,8.0,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1954,11.0,SOUTHERN LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1954,12.0,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1954,1.0,YORKSHIRE LEAGUE - FIRST DIVISION,SELBY TOWN,FIRST ROUND PROPER,8.0
1955,11.0,ATHENIAN LEAGUE,BARNET,FIRST ROUND PROPER,8.0
1955,9.0,BIRMINGHAM AND DISTRICT LEAGUE - NORTHERN DIVISION,HINCKLEY ATHLETIC,FIRST ROUND PROPER,8.0
1955,1.0,CHESHIRE COUNTY LEAGUE,HYDE UNITED,FIRST ROUND PROPER,8.0
1955,2.0,CHESHIRE COUNTY LEAGUE,WELLINGTON,FIRST ROUND PROPER,8.0
1955,16.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1955,1.0,CORINTHIAN LEAGUE,HOUNSLOW TOWN,FIRST ROUND PROPER,8.0
1955,4.0,EASTERN COUNTIES LEAGUE,CAMBRIDGE UNITED,FIRST ROUND PROPER,8.0
1955,1.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1955,7.0,KENT LEAGUE - DIVISION 1,TUNBRIDGE WELLS UNITED,FIRST ROUND PROPER,8.0
1955,3.0,LANCASHIRE COMBINATION - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1955,11.0,LANCASHIRE COMBINATION - DIVISION 1,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1955,5.0,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1955,12.0,MIDLAND COUNTIES LEAGUE,CORBY TOWN,FIRST ROUND PROPER,8.0
1955,5.0,NORTH-EASTERN LEAGUE,HORDEN CW,FIRST ROUND PROPER,8.0
1955,9.0,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1955,1.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1955,2.0,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
